edge_id,pair_id,domain,path_order,node_id,label,x,y,weight,source,target,is_cross_border,involves_singapore
khan-u--seung-k#tb,khan-u--seung-k,tb,2,seung-k,"Seung, Kwonjune J",0.17038,0.401059,6,khan-u,seung-k,,
mitnick-c--seung-k#tb,mitnick-c--seung-k,tb,1,mitnick-c,"Mitnick, Carole D",0.177342,0.399036,6,mitnick-c,seung-k,,
mitnick-c--seung-k#tb,mitnick-c--seung-k,tb,2,seung-k,"Seung, Kwonjune J",0.17038,0.401059,6,mitnick-c,seung-k,,
rich-m--seung-k#tb,rich-m--seung-k,tb,1,rich-m,"Rich, Michael L",0.179287,0.398719,6,rich-m,seung-k,,
rich-m--seung-k#tb,rich-m--seung-k,tb,2,seung-k,"Seung, Kwonjune J",0.17038,0.401059,6,rich-m,seung-k,,
bansal-s--lim-j#vector_borne,bansal-s--lim-j,vector_borne,1,bansal-s,"Bansal, Somya",0.315893,0.635946,6,bansal-s,lim-j,,
bansal-s--lim-j#vector_borne,bansal-s--lim-j,vector_borne,2,lim-j,"Lim, Jue Tao",0.311485,0.645288,6,bansal-s,lim-j,,
chang-c--ng-l#vector_borne,chang-c--ng-l,vector_borne,1,chang-c,"Chang, Chia-Chen",0.318524,0.642272,5,chang-c,ng-l,,
chang-c--ng-l#vector_borne,chang-c--ng-l,vector_borne,2,ng-l,"Ng, Lee Ching",0.313467,0.641842,5,chang-c,ng-l,,
lim-j--tan-c#vector_borne,lim-j--tan-c,vector_borne,1,lim-j,"Lim, Jue Tao",0.311485,0.645288,5,lim-j,tan-c,,
lim-j--tan-c#vector_borne,lim-j--tan-c,vector_borne,2,tan-c,"Tan, Cheong Huat",0.340003,0.632108,5,lim-j,tan-c,,
bastard-m--khan-u#tb,bastard-m--khan-u,tb,1,bastard-m,"Bastard, Mathieu",0.181496,0.400102,5,bastard-m,khan-u,,
bastard-m--khan-u#tb,bastard-m--khan-u,tb,2,khan-u,"Khan, Uzma",0.172753,0.403342,5,bastard-m,khan-u,,
bastard-m--seung-k#tb,bastard-m--seung-k,tb,1,bastard-m,"Bastard, Mathieu",0.181496,0.400102,5,bastard-m,seung-k,,
bastard-m--seung-k#tb,bastard-m--seung-k,tb,2,seung-k,"Seung, Kwonjune J",0.17038,0.401059,5,bastard-m,seung-k,,
franke-m--seung-k#tb,franke-m--seung-k,tb,1,franke-m,"Franke, Molly",0.180019,0.401441,5,franke-m,seung-k,,
franke-m--seung-k#tb,franke-m--seung-k,tb,2,seung-k,"Seung, Kwonjune J",0.17038,0.401059,5,franke-m,seung-k,,
hewison-c--seung-k#tb,hewison-c--seung-k,tb,1,hewison-c,"Hewison, Catherine",0.17815,0.401443,5,hewison-c,seung-k,,
hewison-c--seung-k#tb,hewison-c--seung-k,tb,2,seung-k,"Seung, Kwonjune J",0.17038,0.401059,5,hewison-c,seung-k,,
huerga-h--seung-k#tb,huerga-h--seung-k,tb,1,huerga-h,"Huerga, Helena",0.180495,0.403451,5,huerga-h,seung-k,,
huerga-h--seung-k#tb,huerga-h--seung-k,tb,2,seung-k,"Seung, Kwonjune J",0.17038,0.401059,5,huerga-h,seung-k,,
khan-p--seung-k#tb,khan-p--seung-k,tb,1,khan-p,"Khan, Palwasha Y",0.182363,0.402472,5,khan-p,seung-k,,
khan-p--seung-k#tb,khan-p--seung-k,tb,2,seung-k,"Seung, Kwonjune J",0.17038,0.401059,5,khan-p,seung-k,,
chong-c--ng-l#vector_borne,chong-c--ng-l,vector_borne,1,chong-c,"Chong, Chee-Seng",0.314463,0.647775,5,chong-c,ng-l,,
chong-c--ng-l#vector_borne,chong-c--ng-l,vector_borne,2,ng-l,"Ng, Lee Ching",0.313467,0.641842,5,chong-c,ng-l,,
chong-c--tan-c#vector_borne,chong-c--tan-c,vector_borne,1,chong-c,"Chong, Chee-Seng",0.314463,0.647775,5,chong-c,tan-c,,
chong-c--tan-c#vector_borne,chong-c--tan-c,vector_borne,2,tan-c,"Tan, Cheong Huat",0.340003,0.632108,5,chong-c,tan-c,,
dickens-b--ng-l#vector_borne,dickens-b--ng-l,vector_borne,1,dickens-b,"Dickens, Borame",0.305129,0.631392,5,dickens-b,ng-l,,
dickens-b--ng-l#vector_borne,dickens-b--ng-l,vector_borne,2,ng-l,"Ng, Lee Ching",0.313467,0.641842,5,dickens-b,ng-l,,
ng-l--sim-s#vector_borne,ng-l--sim-s,vector_borne,1,ng-l,"Ng, Lee Ching",0.313467,0.641842,5,ng-l,sim-s,,
ng-l--sim-s#vector_borne,ng-l--sim-s,vector_borne,2,sim-s,"Sim, Shuzhen",0.310494,0.640287,5,ng-l,sim-s,,
bansal-s--dickens-b#vector_borne,bansal-s--dickens-b,vector_borne,1,bansal-s,"Bansal, Somya",0.315893,0.635946,5,bansal-s,dickens-b,,
bansal-s--dickens-b#vector_borne,bansal-s--dickens-b,vector_borne,2,dickens-b,"Dickens, Borame",0.305129,0.631392,5,bansal-s,dickens-b,,
franke-m--romo-m#tb,franke-m--romo-m,tb,1,franke-m,"Franke, Molly",0.180019,0.401441,4,franke-m,romo-m,,
franke-m--romo-m#tb,franke-m--romo-m,tb,2,romo-m,"Romo, Matthew L",0.185582,0.397372,4,franke-m,romo-m,,
hewison-c--romo-m#tb,hewison-c--romo-m,tb,1,hewison-c,"Hewison, Catherine",0.17815,0.401443,4,hewison-c,romo-m,,
hewison-c--romo-m#tb,hewison-c--romo-m,tb,2,romo-m,"Romo, Matthew L",0.185582,0.397372,4,hewison-c,romo-m,,
huerga-h--romo-m#tb,huerga-h--romo-m,tb,1,huerga-h,"Huerga, Helena",0.180495,0.403451,4,huerga-h,romo-m,,
huerga-h--romo-m#tb,huerga-h--romo-m,tb,2,romo-m,"Romo, Matthew L",0.185582,0.397372,4,huerga-h,romo-m,,
khan-p--romo-m#tb,khan-p--romo-m,tb,1,khan-p,"Khan, Palwasha Y",0.182363,0.402472,4,khan-p,romo-m,,
khan-p--romo-m#tb,khan-p--romo-m,tb,2,romo-m,"Romo, Matthew L",0.185582,0.397372,4,khan-p,romo-m,,
mitnick-c--romo-m#tb,mitnick-c--romo-m,tb,1,mitnick-c,"Mitnick, Carole D",0.177342,0.399036,4,mitnick-c,romo-m,,
mitnick-c--romo-m#tb,mitnick-c--romo-m,tb,2,romo-m,"Romo, Matthew L",0.185582,0.397372,4,mitnick-c,romo-m,,
rich-m--romo-m#tb,rich-m--romo-m,tb,1,rich-m,"Rich, Michael L",0.179287,0.398719,4,rich-m,romo-m,,
rich-m--romo-m#tb,rich-m--romo-m,tb,2,romo-m,"Romo, Matthew L",0.185582,0.397372,4,rich-m,romo-m,,
doi-y--paterson-d#amr_hai,doi-y--paterson-d,amr_hai,1,doi-y,"Doi, Yohei",0.459095,0.567498,4,doi-y,paterson-d,,
doi-y--paterson-d#amr_hai,doi-y--paterson-d,amr_hai,2,paterson-d,"Paterson, David L",0.459975,0.566986,4,doi-y,paterson-d,,
chang-c--lim-j#vector_borne,chang-c--lim-j,vector_borne,1,chang-c,"Chang, Chia-Chen",0.318524,0.642272,4,chang-c,lim-j,,
chang-c--lim-j#vector_borne,chang-c--lim-j,vector_borne,2,lim-j,"Lim, Jue Tao",0.311485,0.645288,4,chang-c,lim-j,,
chang-c--tan-c#vector_borne,chang-c--tan-c,vector_borne,1,chang-c,"Chang, Chia-Chen",0.318524,0.642272,4,chang-c,tan-c,,
chang-c--tan-c#vector_borne,chang-c--tan-c,vector_borne,2,tan-c,"Tan, Cheong Huat",0.340003,0.632108,4,chang-c,tan-c,,
bastard-m--lahood-a#tb,bastard-m--lahood-a,tb,1,bastard-m,"Bastard, Mathieu",0.181496,0.400102,4,bastard-m,lahood-a,,
bastard-m--lahood-a#tb,bastard-m--lahood-a,tb,2,lahood-a,"LaHood, Allison",0.181848,0.395116,4,bastard-m,lahood-a,,
bastard-m--siddiqui-m#tb,bastard-m--siddiqui-m,tb,1,bastard-m,"Bastard, Mathieu",0.181496,0.400102,4,bastard-m,siddiqui-m,,
bastard-m--siddiqui-m#tb,bastard-m--siddiqui-m,tb,2,siddiqui-m,"Siddiqui, Muhammad Rafi",0.177127,0.395402,4,bastard-m,siddiqui-m,,
franke-m--lahood-a#tb,franke-m--lahood-a,tb,1,franke-m,"Franke, Molly",0.180019,0.401441,4,franke-m,lahood-a,,
franke-m--lahood-a#tb,franke-m--lahood-a,tb,2,lahood-a,"LaHood, Allison",0.181848,0.395116,4,franke-m,lahood-a,,
franke-m--siddiqui-m#tb,franke-m--siddiqui-m,tb,1,franke-m,"Franke, Molly",0.180019,0.401441,4,franke-m,siddiqui-m,,
franke-m--siddiqui-m#tb,franke-m--siddiqui-m,tb,2,siddiqui-m,"Siddiqui, Muhammad Rafi",0.177127,0.395402,4,franke-m,siddiqui-m,,
hewison-c--lahood-a#tb,hewison-c--lahood-a,tb,1,hewison-c,"Hewison, Catherine",0.17815,0.401443,4,hewison-c,lahood-a,,
hewison-c--lahood-a#tb,hewison-c--lahood-a,tb,2,lahood-a,"LaHood, Allison",0.181848,0.395116,4,hewison-c,lahood-a,,
hewison-c--siddiqui-m#tb,hewison-c--siddiqui-m,tb,1,hewison-c,"Hewison, Catherine",0.17815,0.401443,4,hewison-c,siddiqui-m,,
hewison-c--siddiqui-m#tb,hewison-c--siddiqui-m,tb,2,siddiqui-m,"Siddiqui, Muhammad Rafi",0.177127,0.395402,4,hewison-c,siddiqui-m,,
huerga-h--lahood-a#tb,huerga-h--lahood-a,tb,1,huerga-h,"Huerga, Helena",0.180495,0.403451,4,huerga-h,lahood-a,,
huerga-h--lahood-a#tb,huerga-h--lahood-a,tb,2,lahood-a,"LaHood, Allison",0.181848,0.395116,4,huerga-h,lahood-a,,
huerga-h--siddiqui-m#tb,huerga-h--siddiqui-m,tb,1,huerga-h,"Huerga, Helena",0.180495,0.403451,4,huerga-h,siddiqui-m,,
huerga-h--siddiqui-m#tb,huerga-h--siddiqui-m,tb,2,siddiqui-m,"Siddiqui, Muhammad Rafi",0.177127,0.395402,4,huerga-h,siddiqui-m,,
khan-p--lahood-a#tb,khan-p--lahood-a,tb,1,khan-p,"Khan, Palwasha Y",0.182363,0.402472,4,khan-p,lahood-a,,
khan-p--lahood-a#tb,khan-p--lahood-a,tb,2,lahood-a,"LaHood, Allison",0.181848,0.395116,4,khan-p,lahood-a,,
khan-p--siddiqui-m#tb,khan-p--siddiqui-m,tb,1,khan-p,"Khan, Palwasha Y",0.182363,0.402472,4,khan-p,siddiqui-m,,
khan-p--siddiqui-m#tb,khan-p--siddiqui-m,tb,2,siddiqui-m,"Siddiqui, Muhammad Rafi",0.177127,0.395402,4,khan-p,siddiqui-m,,
khan-p--skrahina-a#tb,khan-p--skrahina-a,tb,1,khan-p,"Khan, Palwasha Y",0.182363,0.402472,4,khan-p,skrahina-a,,
khan-p--skrahina-a#tb,khan-p--skrahina-a,tb,2,skrahina-a,"Skrahina, Alena",0.169576,0.393059,4,khan-p,skrahina-a,,
khan-u--skrahina-a#tb,khan-u--skrahina-a,tb,1,khan-u,"Khan, Uzma",0.172753,0.403342,4,khan-u,skrahina-a,,
khan-u--skrahina-a#tb,khan-u--skrahina-a,tb,2,skrahina-a,"Skrahina, Alena",0.169576,0.393059,4,khan-u,skrahina-a,,
lahood-a--mitnick-c#tb,lahood-a--mitnick-c,tb,1,lahood-a,"LaHood, Allison",0.181848,0.395116,4,lahood-a,mitnick-c,,
lahood-a--mitnick-c#tb,lahood-a--mitnick-c,tb,2,mitnick-c,"Mitnick, Carole D",0.177342,0.399036,4,lahood-a,mitnick-c,,
lahood-a--rich-m#tb,lahood-a--rich-m,tb,1,lahood-a,"LaHood, Allison",0.181848,0.395116,4,lahood-a,rich-m,,
lahood-a--rich-m#tb,lahood-a--rich-m,tb,2,rich-m,"Rich, Michael L",0.179287,0.398719,4,lahood-a,rich-m,,
mitnick-c--siddiqui-m#tb,mitnick-c--siddiqui-m,tb,1,mitnick-c,"Mitnick, Carole D",0.177342,0.399036,4,mitnick-c,siddiqui-m,,
mitnick-c--siddiqui-m#tb,mitnick-c--siddiqui-m,tb,2,siddiqui-m,"Siddiqui, Muhammad Rafi",0.177127,0.395402,4,mitnick-c,siddiqui-m,,
rich-m--siddiqui-m#tb,rich-m--siddiqui-m,tb,1,rich-m,"Rich, Michael L",0.179287,0.398719,4,rich-m,siddiqui-m,,
rich-m--siddiqui-m#tb,rich-m--siddiqui-m,tb,2,siddiqui-m,"Siddiqui, Muhammad Rafi",0.177127,0.395402,4,rich-m,siddiqui-m,,
rich-m--skrahina-a#tb,rich-m--skrahina-a,tb,1,rich-m,"Rich, Michael L",0.179287,0.398719,4,rich-m,skrahina-a,,
rich-m--skrahina-a#tb,rich-m--skrahina-a,tb,2,skrahina-a,"Skrahina, Alena",0.169576,0.393059,4,rich-m,skrahina-a,,
chain-g--chong-c#vector_borne,chain-g--chong-c,vector_borne,1,chain-g,"Chain, Grace",0.32084,0.637283,4,chain-g,chong-c,,
chain-g--chong-c#vector_borne,chain-g--chong-c,vector_borne,2,chong-c,"Chong, Chee-Seng",0.314463,0.647775,4,chain-g,chong-c,,
chain-g--dickens-b#vector_borne,chain-g--dickens-b,vector_borne,1,chain-g,"Chain, Grace",0.32084,0.637283,4,chain-g,dickens-b,,
chain-g--dickens-b#vector_borne,chain-g--dickens-b,vector_borne,2,dickens-b,"Dickens, Borame",0.305129,0.631392,4,chain-g,dickens-b,,
chain-g--lee-c#vector_borne,chain-g--lee-c,vector_borne,1,chain-g,"Chain, Grace",0.32084,0.637283,4,chain-g,lee-c,,
chain-g--lee-c#vector_borne,chain-g--lee-c,vector_borne,2,lee-c,"Lee, Caleb",0.321507,0.643274,4,chain-g,lee-c,,
chain-g--lim-j#vector_borne,chain-g--lim-j,vector_borne,1,chain-g,"Chain, Grace",0.32084,0.637283,4,chain-g,lim-j,,
chain-g--lim-j#vector_borne,chain-g--lim-j,vector_borne,2,lim-j,"Lim, Jue Tao",0.311485,0.645288,4,chain-g,lim-j,,
chain-g--ng-l#vector_borne,chain-g--ng-l,vector_borne,1,chain-g,"Chain, Grace",0.32084,0.637283,4,chain-g,ng-l,,
chain-g--ng-l#vector_borne,chain-g--ng-l,vector_borne,2,ng-l,"Ng, Lee Ching",0.313467,0.641842,4,chain-g,ng-l,,
chain-g--ng-y#vector_borne,chain-g--ng-y,vector_borne,1,chain-g,"Chain, Grace",0.32084,0.637283,4,chain-g,ng-y,,
chain-g--ng-y#vector_borne,chain-g--ng-y,vector_borne,2,ng-y,"Ng, Youming",0.32174,0.640359,4,chain-g,ng-y,,
chain-g--sim-s#vector_borne,chain-g--sim-s,vector_borne,1,chain-g,"Chain, Grace",0.32084,0.637283,4,chain-g,sim-s,,
chain-g--sim-s#vector_borne,chain-g--sim-s,vector_borne,2,sim-s,"Sim, Shuzhen",0.310494,0.640287,4,chain-g,sim-s,,
chain-g--tan-c#vector_borne,chain-g--tan-c,vector_borne,1,chain-g,"Chain, Grace",0.32084,0.637283,4,chain-g,tan-c,,
chain-g--tan-c#vector_borne,chain-g--tan-c,vector_borne,2,tan-c,"Tan, Cheong Huat",0.340003,0.632108,4,chain-g,tan-c,,
chain-g--tan-l#vector_borne,chain-g--tan-l,vector_borne,1,chain-g,"Chain, Grace",0.32084,0.637283,4,chain-g,tan-l,,
chain-g--tan-l#vector_borne,chain-g--tan-l,vector_borne,2,tan-l,"Tan, Li Yun",0.317906,0.639091,4,chain-g,tan-l,,
chang-c--sim-s#vector_borne,chang-c--sim-s,vector_borne,1,chang-c,"Chang, Chia-Chen",0.318524,0.642272,4,chang-c,sim-s,,
chang-c--sim-s#vector_borne,chang-c--sim-s,vector_borne,2,sim-s,"Sim, Shuzhen",0.310494,0.640287,4,chang-c,sim-s,,
chong-c--dickens-b#vector_borne,chong-c--dickens-b,vector_borne,1,chong-c,"Chong, Chee-Seng",0.314463,0.647775,4,chong-c,dickens-b,,
chong-c--dickens-b#vector_borne,chong-c--dickens-b,vector_borne,2,dickens-b,"Dickens, Borame",0.305129,0.631392,4,chong-c,dickens-b,,
chong-c--lee-c#vector_borne,chong-c--lee-c,vector_borne,1,chong-c,"Chong, Chee-Seng",0.314463,0.647775,4,chong-c,lee-c,,
chong-c--lee-c#vector_borne,chong-c--lee-c,vector_borne,2,lee-c,"Lee, Caleb",0.321507,0.643274,4,chong-c,lee-c,,
chong-c--lim-j#vector_borne,chong-c--lim-j,vector_borne,1,chong-c,"Chong, Chee-Seng",0.314463,0.647775,4,chong-c,lim-j,,
chong-c--lim-j#vector_borne,chong-c--lim-j,vector_borne,2,lim-j,"Lim, Jue Tao",0.311485,0.645288,4,chong-c,lim-j,,
chong-c--ng-y#vector_borne,chong-c--ng-y,vector_borne,1,chong-c,"Chong, Chee-Seng",0.314463,0.647775,4,chong-c,ng-y,,
chong-c--ng-y#vector_borne,chong-c--ng-y,vector_borne,2,ng-y,"Ng, Youming",0.32174,0.640359,4,chong-c,ng-y,,
chong-c--sim-s#vector_borne,chong-c--sim-s,vector_borne,1,chong-c,"Chong, Chee-Seng",0.314463,0.647775,4,chong-c,sim-s,,
chong-c--sim-s#vector_borne,chong-c--sim-s,vector_borne,2,sim-s,"Sim, Shuzhen",0.310494,0.640287,4,chong-c,sim-s,,
chong-c--tan-l#vector_borne,chong-c--tan-l,vector_borne,1,chong-c,"Chong, Chee-Seng",0.314463,0.647775,4,chong-c,tan-l,,
chong-c--tan-l#vector_borne,chong-c--tan-l,vector_borne,2,tan-l,"Tan, Li Yun",0.317906,0.639091,4,chong-c,tan-l,,
deng-l--tan-c#vector_borne,deng-l--tan-c,vector_borne,1,deng-l,"Deng, Lu",0.313376,0.635044,4,deng-l,tan-c,,
deng-l--tan-c#vector_borne,deng-l--tan-c,vector_borne,2,tan-c,"Tan, Cheong Huat",0.340003,0.632108,4,deng-l,tan-c,,
dickens-b--lee-c#vector_borne,dickens-b--lee-c,vector_borne,1,dickens-b,"Dickens, Borame",0.305129,0.631392,4,dickens-b,lee-c,,
dickens-b--lee-c#vector_borne,dickens-b--lee-c,vector_borne,2,lee-c,"Lee, Caleb",0.321507,0.643274,4,dickens-b,lee-c,,
dickens-b--ng-y#vector_borne,dickens-b--ng-y,vector_borne,1,dickens-b,"Dickens, Borame",0.305129,0.631392,4,dickens-b,ng-y,,
dickens-b--ng-y#vector_borne,dickens-b--ng-y,vector_borne,2,ng-y,"Ng, Youming",0.32174,0.640359,4,dickens-b,ng-y,,
dickens-b--sim-s#vector_borne,dickens-b--sim-s,vector_borne,1,dickens-b,"Dickens, Borame",0.305129,0.631392,4,dickens-b,sim-s,,
dickens-b--sim-s#vector_borne,dickens-b--sim-s,vector_borne,2,sim-s,"Sim, Shuzhen",0.310494,0.640287,4,dickens-b,sim-s,,
