edge_id,pair_id,source,target,domain,weight,source_name,target_name,source_institution,target_institution,source_country,target_country
lye-d--tan-j#rti,lye-d--tan-j,lye-d,tan-j,rti,1,"Lye, David Chien Boon","Tan, Jamie Bee Xian",Communicable Diseases Agency,National University of Singapore,Singapore,Singapore
lye-d--yap-a#rti,lye-d--yap-a,lye-d,yap-a,rti,1,"Lye, David Chien Boon","Yap, Alex Jie Wei",Communicable Diseases Agency,National Centre for Infectious Diseases,Singapore,Singapore
ong-s--tan-j#rti,ong-s--tan-j,ong-s,tan-j,rti,1,"Ong, S J M","Tan, Jamie Bee Xian",Institute of Mental Health,National University of Singapore,Singapore,Singapore
ong-s--tan-k#rti,ong-s--tan-k,ong-s,tan-k,rti,1,"Ong, S J M","Tan, K Y",Institute of Mental Health,Nanyang Technological University,Singapore,Singapore
ong-s--wee-l#rti,ong-s--wee-l,ong-s,wee-l,rti,1,"Ong, S J M","Wee, Liang En",Institute of Mental Health,Communicable Diseases Agency,Singapore,Singapore
ong-s--yap-a#rti,ong-s--yap-a,ong-s,yap-a,rti,1,"Ong, S J M","Yap, Alex Jie Wei",Institute of Mental Health,National Centre for Infectious Diseases,Singapore,Singapore
tan-j--tan-k#rti,tan-j--tan-k,tan-j,tan-k,rti,1,"Tan, Jamie Bee Xian","Tan, K Y",National University of Singapore,Nanyang Technological University,Singapore,Singapore
tan-j--wee-l#rti,tan-j--wee-l,tan-j,wee-l,rti,1,"Tan, Jamie Bee Xian","Wee, Liang En",National University of Singapore,Communicable Diseases Agency,Singapore,Singapore
tan-j--yap-a#rti,tan-j--yap-a,tan-j,yap-a,rti,1,"Tan, Jamie Bee Xian","Yap, Alex Jie Wei",National University of Singapore,National Centre for Infectious Diseases,Singapore,Singapore
tan-k--yap-a#rti,tan-k--yap-a,tan-k,yap-a,rti,1,"Tan, K Y","Yap, Alex Jie Wei",Nanyang Technological University,National Centre for Infectious Diseases,Singapore,Singapore
wee-l--yap-a#rti,wee-l--yap-a,wee-l,yap-a,rti,1,"Wee, Liang En","Yap, Alex Jie Wei",Communicable Diseases Agency,National Centre for Infectious Diseases,Singapore,Singapore
ang-b--aung-a#amr_hai,ang-b--aung-a,ang-b,aung-a,amr_hai,1,"Ang, B","Aung, A H",Tan Tock Seng Hospital,Tan Tock Seng Hospital,Singapore,Singapore
ang-b--beh-d#amr_hai,ang-b--beh-d,ang-b,beh-d,amr_hai,1,"Ang, B","Beh, D",Tan Tock Seng Hospital,Tan Tock Seng Hospital,Singapore,Singapore
ang-b--chia-g#amr_hai,ang-b--chia-g,ang-b,chia-g,amr_hai,1,"Ang, B","Chia, G",Tan Tock Seng Hospital,Tan Tock Seng Hospital,Singapore,Singapore
ang-b--chow-a#amr_hai,ang-b--chow-a,ang-b,chow-a,amr_hai,1,"Ang, B","Chow, Angela",Tan Tock Seng Hospital,Tan Tock Seng Hospital,Singapore,Singapore
ang-b--koh-m#amr_hai,ang-b--koh-m,ang-b,koh-m,amr_hai,1,"Ang, B","Koh, Matthew Chung Yi",Tan Tock Seng Hospital,National University Health System,Singapore,Singapore
ang-b--ngiam-j#amr_hai,ang-b--ngiam-j,ang-b,ngiam-j,amr_hai,1,"Ang, B","Ngiam, Jinghao Nicholas",Tan Tock Seng Hospital,Communicable Diseases Agency,Singapore,Singapore
ang-b--quah-j#amr_hai,ang-b--quah-j,ang-b,quah-j,amr_hai,1,"Ang, B","Quah, Jessica Lishan",Tan Tock Seng Hospital,National University Health System,Singapore,Singapore
ang-b--smitasin-n#amr_hai,ang-b--smitasin-n,ang-b,smitasin-n,amr_hai,1,"Ang, B","Smitasin, Nares",Tan Tock Seng Hospital,National University Health System,Singapore,Singapore
ang-b--somani-j#amr_hai,ang-b--somani-j,ang-b,somani-j,amr_hai,1,"Ang, B","Somani, Jyoti",Tan Tock Seng Hospital,,Singapore,United States
ang-b--tang-y#amr_hai,ang-b--tang-y,ang-b,tang-y,amr_hai,1,"Ang, B","Tang, Yuxuan",Tan Tock Seng Hospital,Tan Tock Seng Hospital,Singapore,Singapore
ang-b--wahab-m#amr_hai,ang-b--wahab-m,ang-b,wahab-m,amr_hai,1,"Ang, B","Wahab, M T",Tan Tock Seng Hospital,National University Health System,Singapore,Singapore
ang-b--wu-j#amr_hai,ang-b--wu-j,ang-b,wu-j,amr_hai,1,"Ang, B","Wu, Jhong-Lin",Tan Tock Seng Hospital,National University Health System,Singapore,Singapore
aung-a--beh-d#amr_hai,aung-a--beh-d,aung-a,beh-d,amr_hai,1,"Aung, A H","Beh, D",Tan Tock Seng Hospital,Tan Tock Seng Hospital,Singapore,Singapore
aung-a--chia-g#amr_hai,aung-a--chia-g,aung-a,chia-g,amr_hai,1,"Aung, A H","Chia, G",Tan Tock Seng Hospital,Tan Tock Seng Hospital,Singapore,Singapore
aung-a--chow-a#amr_hai,aung-a--chow-a,aung-a,chow-a,amr_hai,1,"Aung, A H","Chow, Angela",Tan Tock Seng Hospital,Tan Tock Seng Hospital,Singapore,Singapore
aung-a--koh-m#amr_hai,aung-a--koh-m,aung-a,koh-m,amr_hai,1,"Aung, A H","Koh, Matthew Chung Yi",Tan Tock Seng Hospital,National University Health System,Singapore,Singapore
aung-a--ngiam-j#amr_hai,aung-a--ngiam-j,aung-a,ngiam-j,amr_hai,1,"Aung, A H","Ngiam, Jinghao Nicholas",Tan Tock Seng Hospital,Communicable Diseases Agency,Singapore,Singapore
aung-a--quah-j#amr_hai,aung-a--quah-j,aung-a,quah-j,amr_hai,1,"Aung, A H","Quah, Jessica Lishan",Tan Tock Seng Hospital,National University Health System,Singapore,Singapore
aung-a--smitasin-n#amr_hai,aung-a--smitasin-n,aung-a,smitasin-n,amr_hai,1,"Aung, A H","Smitasin, Nares",Tan Tock Seng Hospital,National University Health System,Singapore,Singapore
aung-a--somani-j#amr_hai,aung-a--somani-j,aung-a,somani-j,amr_hai,1,"Aung, A H","Somani, Jyoti",Tan Tock Seng Hospital,,Singapore,United States
aung-a--tang-y#amr_hai,aung-a--tang-y,aung-a,tang-y,amr_hai,1,"Aung, A H","Tang, Yuxuan",Tan Tock Seng Hospital,Tan Tock Seng Hospital,Singapore,Singapore
aung-a--wahab-m#amr_hai,aung-a--wahab-m,aung-a,wahab-m,amr_hai,1,"Aung, A H","Wahab, M T",Tan Tock Seng Hospital,National University Health System,Singapore,Singapore
aung-a--wu-j#amr_hai,aung-a--wu-j,aung-a,wu-j,amr_hai,1,"Aung, A H","Wu, Jhong-Lin",Tan Tock Seng Hospital,National University Health System,Singapore,Singapore
beh-d--chia-g#amr_hai,beh-d--chia-g,beh-d,chia-g,amr_hai,1,"Beh, D","Chia, G",Tan Tock Seng Hospital,Tan Tock Seng Hospital,Singapore,Singapore
beh-d--chow-a#amr_hai,beh-d--chow-a,beh-d,chow-a,amr_hai,1,"Beh, D","Chow, Angela",Tan Tock Seng Hospital,Tan Tock Seng Hospital,Singapore,Singapore
beh-d--koh-m#amr_hai,beh-d--koh-m,beh-d,koh-m,amr_hai,1,"Beh, D","Koh, Matthew Chung Yi",Tan Tock Seng Hospital,National University Health System,Singapore,Singapore
beh-d--ngiam-j#amr_hai,beh-d--ngiam-j,beh-d,ngiam-j,amr_hai,1,"Beh, D","Ngiam, Jinghao Nicholas",Tan Tock Seng Hospital,Communicable Diseases Agency,Singapore,Singapore
beh-d--quah-j#amr_hai,beh-d--quah-j,beh-d,quah-j,amr_hai,1,"Beh, D","Quah, Jessica Lishan",Tan Tock Seng Hospital,National University Health System,Singapore,Singapore
beh-d--smitasin-n#amr_hai,beh-d--smitasin-n,beh-d,smitasin-n,amr_hai,1,"Beh, D","Smitasin, Nares",Tan Tock Seng Hospital,National University Health System,Singapore,Singapore
beh-d--somani-j#amr_hai,beh-d--somani-j,beh-d,somani-j,amr_hai,1,"Beh, D","Somani, Jyoti",Tan Tock Seng Hospital,,Singapore,United States
beh-d--tang-y#amr_hai,beh-d--tang-y,beh-d,tang-y,amr_hai,1,"Beh, D","Tang, Yuxuan",Tan Tock Seng Hospital,Tan Tock Seng Hospital,Singapore,Singapore
beh-d--wahab-m#amr_hai,beh-d--wahab-m,beh-d,wahab-m,amr_hai,1,"Beh, D","Wahab, M T",Tan Tock Seng Hospital,National University Health System,Singapore,Singapore
beh-d--wu-j#amr_hai,beh-d--wu-j,beh-d,wu-j,amr_hai,1,"Beh, D","Wu, Jhong-Lin",Tan Tock Seng Hospital,National University Health System,Singapore,Singapore
chia-g--chow-a#amr_hai,chia-g--chow-a,chia-g,chow-a,amr_hai,1,"Chia, G","Chow, Angela",Tan Tock Seng Hospital,Tan Tock Seng Hospital,Singapore,Singapore
chia-g--koh-m#amr_hai,chia-g--koh-m,chia-g,koh-m,amr_hai,1,"Chia, G","Koh, Matthew Chung Yi",Tan Tock Seng Hospital,National University Health System,Singapore,Singapore
chia-g--ngiam-j#amr_hai,chia-g--ngiam-j,chia-g,ngiam-j,amr_hai,1,"Chia, G","Ngiam, Jinghao Nicholas",Tan Tock Seng Hospital,Communicable Diseases Agency,Singapore,Singapore
chia-g--quah-j#amr_hai,chia-g--quah-j,chia-g,quah-j,amr_hai,1,"Chia, G","Quah, Jessica Lishan",Tan Tock Seng Hospital,National University Health System,Singapore,Singapore
chia-g--smitasin-n#amr_hai,chia-g--smitasin-n,chia-g,smitasin-n,amr_hai,1,"Chia, G","Smitasin, Nares",Tan Tock Seng Hospital,National University Health System,Singapore,Singapore
chia-g--somani-j#amr_hai,chia-g--somani-j,chia-g,somani-j,amr_hai,1,"Chia, G","Somani, Jyoti",Tan Tock Seng Hospital,,Singapore,United States
chia-g--tang-y#amr_hai,chia-g--tang-y,chia-g,tang-y,amr_hai,1,"Chia, G","Tang, Yuxuan",Tan Tock Seng Hospital,Tan Tock Seng Hospital,Singapore,Singapore
chia-g--wahab-m#amr_hai,chia-g--wahab-m,chia-g,wahab-m,amr_hai,1,"Chia, G","Wahab, M T",Tan Tock Seng Hospital,National University Health System,Singapore,Singapore
chia-g--wu-j#amr_hai,chia-g--wu-j,chia-g,wu-j,amr_hai,1,"Chia, G","Wu, Jhong-Lin",Tan Tock Seng Hospital,National University Health System,Singapore,Singapore
chow-a--koh-m#amr_hai,chow-a--koh-m,chow-a,koh-m,amr_hai,1,"Chow, Angela","Koh, Matthew Chung Yi",Tan Tock Seng Hospital,National University Health System,Singapore,Singapore
chow-a--ngiam-j#amr_hai,chow-a--ngiam-j,chow-a,ngiam-j,amr_hai,1,"Chow, Angela","Ngiam, Jinghao Nicholas",Tan Tock Seng Hospital,Communicable Diseases Agency,Singapore,Singapore
chow-a--quah-j#amr_hai,chow-a--quah-j,chow-a,quah-j,amr_hai,1,"Chow, Angela","Quah, Jessica Lishan",Tan Tock Seng Hospital,National University Health System,Singapore,Singapore
chow-a--smitasin-n#amr_hai,chow-a--smitasin-n,chow-a,smitasin-n,amr_hai,1,"Chow, Angela","Smitasin, Nares",Tan Tock Seng Hospital,National University Health System,Singapore,Singapore
chow-a--somani-j#amr_hai,chow-a--somani-j,chow-a,somani-j,amr_hai,1,"Chow, Angela","Somani, Jyoti",Tan Tock Seng Hospital,,Singapore,United States
chow-a--tang-y#amr_hai,chow-a--tang-y,chow-a,tang-y,amr_hai,1,"Chow, Angela","Tang, Yuxuan",Tan Tock Seng Hospital,Tan Tock Seng Hospital,Singapore,Singapore
chow-a--wahab-m#amr_hai,chow-a--wahab-m,chow-a,wahab-m,amr_hai,1,"Chow, Angela","Wahab, M T",Tan Tock Seng Hospital,National University Health System,Singapore,Singapore
chow-a--wu-j#amr_hai,chow-a--wu-j,chow-a,wu-j,amr_hai,1,"Chow, Angela","Wu, Jhong-Lin",Tan Tock Seng Hospital,National University Health System,Singapore,Singapore
koh-m--quah-j#amr_hai,koh-m--quah-j,koh-m,quah-j,amr_hai,1,"Koh, Matthew Chung Yi","Quah, Jessica Lishan",National University Health System,National University Health System,Singapore,Singapore
koh-m--smitasin-n#amr_hai,koh-m--smitasin-n,koh-m,smitasin-n,amr_hai,1,"Koh, Matthew Chung Yi","Smitasin, Nares",National University Health System,National University Health System,Singapore,Singapore
koh-m--somani-j#amr_hai,koh-m--somani-j,koh-m,somani-j,amr_hai,1,"Koh, Matthew Chung Yi","Somani, Jyoti",National University Health System,,Singapore,United States
koh-m--tang-y#amr_hai,koh-m--tang-y,koh-m,tang-y,amr_hai,1,"Koh, Matthew Chung Yi","Tang, Yuxuan",National University Health System,Tan Tock Seng Hospital,Singapore,Singapore
koh-m--wahab-m#amr_hai,koh-m--wahab-m,koh-m,wahab-m,amr_hai,1,"Koh, Matthew Chung Yi","Wahab, M T",National University Health System,National University Health System,Singapore,Singapore
koh-m--wu-j#amr_hai,koh-m--wu-j,koh-m,wu-j,amr_hai,1,"Koh, Matthew Chung Yi","Wu, Jhong-Lin",National University Health System,National University Health System,Singapore,Singapore
ngiam-j--quah-j#amr_hai,ngiam-j--quah-j,ngiam-j,quah-j,amr_hai,1,"Ngiam, Jinghao Nicholas","Quah, Jessica Lishan",Communicable Diseases Agency,National University Health System,Singapore,Singapore
ngiam-j--smitasin-n#amr_hai,ngiam-j--smitasin-n,ngiam-j,smitasin-n,amr_hai,1,"Ngiam, Jinghao Nicholas","Smitasin, Nares",Communicable Diseases Agency,National University Health System,Singapore,Singapore
ngiam-j--somani-j#amr_hai,ngiam-j--somani-j,ngiam-j,somani-j,amr_hai,1,"Ngiam, Jinghao Nicholas","Somani, Jyoti",Communicable Diseases Agency,,Singapore,United States
ngiam-j--tang-y#amr_hai,ngiam-j--tang-y,ngiam-j,tang-y,amr_hai,1,"Ngiam, Jinghao Nicholas","Tang, Yuxuan",Communicable Diseases Agency,Tan Tock Seng Hospital,Singapore,Singapore
ngiam-j--wahab-m#amr_hai,ngiam-j--wahab-m,ngiam-j,wahab-m,amr_hai,1,"Ngiam, Jinghao Nicholas","Wahab, M T",Communicable Diseases Agency,National University Health System,Singapore,Singapore
ngiam-j--wu-j#amr_hai,ngiam-j--wu-j,ngiam-j,wu-j,amr_hai,1,"Ngiam, Jinghao Nicholas","Wu, Jhong-Lin",Communicable Diseases Agency,National University Health System,Singapore,Singapore
quah-j--smitasin-n#amr_hai,quah-j--smitasin-n,quah-j,smitasin-n,amr_hai,1,"Quah, Jessica Lishan","Smitasin, Nares",National University Health System,National University Health System,Singapore,Singapore
quah-j--somani-j#amr_hai,quah-j--somani-j,quah-j,somani-j,amr_hai,1,"Quah, Jessica Lishan","Somani, Jyoti",National University Health System,,Singapore,United States
quah-j--tang-y#amr_hai,quah-j--tang-y,quah-j,tang-y,amr_hai,1,"Quah, Jessica Lishan","Tang, Yuxuan",National University Health System,Tan Tock Seng Hospital,Singapore,Singapore
quah-j--wahab-m#amr_hai,quah-j--wahab-m,quah-j,wahab-m,amr_hai,1,"Quah, Jessica Lishan","Wahab, M T",National University Health System,National University Health System,Singapore,Singapore
quah-j--wu-j#amr_hai,quah-j--wu-j,quah-j,wu-j,amr_hai,1,"Quah, Jessica Lishan","Wu, Jhong-Lin",National University Health System,National University Health System,Singapore,Singapore
smitasin-n--somani-j#amr_hai,smitasin-n--somani-j,smitasin-n,somani-j,amr_hai,1,"Smitasin, Nares","Somani, Jyoti",National University Health System,,Singapore,United States
smitasin-n--tang-y#amr_hai,smitasin-n--tang-y,smitasin-n,tang-y,amr_hai,1,"Smitasin, Nares","Tang, Yuxuan",National University Health System,Tan Tock Seng Hospital,Singapore,Singapore
smitasin-n--wahab-m#amr_hai,smitasin-n--wahab-m,smitasin-n,wahab-m,amr_hai,1,"Smitasin, Nares","Wahab, M T",National University Health System,National University Health System,Singapore,Singapore
smitasin-n--wu-j#amr_hai,smitasin-n--wu-j,smitasin-n,wu-j,amr_hai,1,"Smitasin, Nares","Wu, Jhong-Lin",National University Health System,National University Health System,Singapore,Singapore
somani-j--tang-y#amr_hai,somani-j--tang-y,somani-j,tang-y,amr_hai,1,"Somani, Jyoti","Tang, Yuxuan",,Tan Tock Seng Hospital,United States,Singapore
somani-j--wahab-m#amr_hai,somani-j--wahab-m,somani-j,wahab-m,amr_hai,1,"Somani, Jyoti","Wahab, M T",,National University Health System,United States,Singapore
somani-j--wu-j#amr_hai,somani-j--wu-j,somani-j,wu-j,amr_hai,1,"Somani, Jyoti","Wu, Jhong-Lin",,National University Health System,United States,Singapore
tang-y--wahab-m#amr_hai,tang-y--wahab-m,tang-y,wahab-m,amr_hai,1,"Tang, Yuxuan","Wahab, M T",Tan Tock Seng Hospital,National University Health System,Singapore,Singapore
tang-y--wu-j#amr_hai,tang-y--wu-j,tang-y,wu-j,amr_hai,1,"Tang, Yuxuan","Wu, Jhong-Lin",Tan Tock Seng Hospital,National University Health System,Singapore,Singapore
wahab-m--wu-j#amr_hai,wahab-m--wu-j,wahab-m,wu-j,amr_hai,1,"Wahab, M T","Wu, Jhong-Lin",National University Health System,National University Health System,Singapore,Singapore
attwell-k--duong-h#rti,attwell-k--duong-h,attwell-k,duong-h,rti,1,"Attwell, Katie","Duong, Hang",,,Australia,Australia
attwell-k--kamaruzaman-n#rti,attwell-k--kamaruzaman-n,attwell-k,kamaruzaman-n,rti,1,"Attwell, Katie","Kamaruzaman, Nor Kamila",,,Australia,Australia
duong-h--kamaruzaman-n#rti,duong-h--kamaruzaman-n,duong-h,kamaruzaman-n,rti,1,"Duong, Hang","Kamaruzaman, Nor Kamila",,,Australia,Australia
au-b--connolly-j#rti,au-b--connolly-j,au-b,connolly-j,rti,1,"Au, Bijin","Connolly, John",Institute of Molecular and Cell Biology,Institute of Molecular and Cell Biology,Singapore,Singapore
au-b--hopkins-r#rti,au-b--hopkins-r,au-b,hopkins-r,rti,1,"Au, Bijin","Hopkins, Richard Anthony",Institute of Molecular and Cell Biology,Institute of Molecular and Cell Biology,Singapore,Singapore
au-b--novita#rti,au-b--novita,au-b,novita,rti,1,"Au, Bijin",Novita,Institute of Molecular and Cell Biology,Institute of Molecular and Cell Biology,Singapore,Singapore
au-b--ong-w#rti,au-b--ong-w,au-b,ong-w,rti,1,"Au, Bijin","Ong, Weiyee",Institute of Molecular and Cell Biology,Institute of Molecular and Cell Biology,Singapore,Singapore
au-b--talib-n#rti,au-b--talib-n,au-b,talib-n,rti,1,"Au, Bijin","Talib, Najwa",Institute of Molecular and Cell Biology,Institute of Molecular and Cell Biology,Singapore,Singapore
au-b--yang-e#rti,au-b--yang-e,au-b,yang-e,rti,1,"Au, Bijin","Yang, Enjun",Institute of Molecular and Cell Biology,Institute of Molecular and Cell Biology,Singapore,Singapore
connolly-j--hopkins-r#rti,connolly-j--hopkins-r,connolly-j,hopkins-r,rti,1,"Connolly, John","Hopkins, Richard Anthony",Institute of Molecular and Cell Biology,Institute of Molecular and Cell Biology,Singapore,Singapore
connolly-j--novita#rti,connolly-j--novita,connolly-j,novita,rti,1,"Connolly, John",Novita,Institute of Molecular and Cell Biology,Institute of Molecular and Cell Biology,Singapore,Singapore
connolly-j--ong-w#rti,connolly-j--ong-w,connolly-j,ong-w,rti,1,"Connolly, John","Ong, Weiyee",Institute of Molecular and Cell Biology,Institute of Molecular and Cell Biology,Singapore,Singapore
connolly-j--talib-n#rti,connolly-j--talib-n,connolly-j,talib-n,rti,1,"Connolly, John","Talib, Najwa",Institute of Molecular and Cell Biology,Institute of Molecular and Cell Biology,Singapore,Singapore
connolly-j--yang-e#rti,connolly-j--yang-e,connolly-j,yang-e,rti,1,"Connolly, John","Yang, Enjun",Institute of Molecular and Cell Biology,Institute of Molecular and Cell Biology,Singapore,Singapore
hopkins-r--novita#rti,hopkins-r--novita,hopkins-r,novita,rti,1,"Hopkins, Richard Anthony",Novita,Institute of Molecular and Cell Biology,Institute of Molecular and Cell Biology,Singapore,Singapore
hopkins-r--ong-w#rti,hopkins-r--ong-w,hopkins-r,ong-w,rti,1,"Hopkins, Richard Anthony","Ong, Weiyee",Institute of Molecular and Cell Biology,Institute of Molecular and Cell Biology,Singapore,Singapore
hopkins-r--talib-n#rti,hopkins-r--talib-n,hopkins-r,talib-n,rti,1,"Hopkins, Richard Anthony","Talib, Najwa",Institute of Molecular and Cell Biology,Institute of Molecular and Cell Biology,Singapore,Singapore
hopkins-r--yang-e#rti,hopkins-r--yang-e,hopkins-r,yang-e,rti,1,"Hopkins, Richard Anthony","Yang, Enjun",Institute of Molecular and Cell Biology,Institute of Molecular and Cell Biology,Singapore,Singapore
novita--ong-w#rti,novita--ong-w,novita,ong-w,rti,1,Novita,"Ong, Weiyee",Institute of Molecular and Cell Biology,Institute of Molecular and Cell Biology,Singapore,Singapore
novita--talib-n#rti,novita--talib-n,novita,talib-n,rti,1,Novita,"Talib, Najwa",Institute of Molecular and Cell Biology,Institute of Molecular and Cell Biology,Singapore,Singapore
novita--yang-e#rti,novita--yang-e,novita,yang-e,rti,1,Novita,"Yang, Enjun",Institute of Molecular and Cell Biology,Institute of Molecular and Cell Biology,Singapore,Singapore
ong-w--talib-n#rti,ong-w--talib-n,ong-w,talib-n,rti,1,"Ong, Weiyee","Talib, Najwa",Institute of Molecular and Cell Biology,Institute of Molecular and Cell Biology,Singapore,Singapore
ong-w--yang-e#rti,ong-w--yang-e,ong-w,yang-e,rti,1,"Ong, Weiyee","Yang, Enjun",Institute of Molecular and Cell Biology,Institute of Molecular and Cell Biology,Singapore,Singapore
talib-n--yang-e#rti,talib-n--yang-e,talib-n,yang-e,rti,1,"Talib, Najwa","Yang, Enjun",Institute of Molecular and Cell Biology,Institute of Molecular and Cell Biology,Singapore,Singapore
bonnewell-j--carugati-m#rti,bonnewell-j--carugati-m,bonnewell-j,carugati-m,rti,1,"Bonnewell, John P","Carugati, Manuela",,,United States,United States
bonnewell-j--crump-j#rti,bonnewell-j--crump-j,bonnewell-j,crump-j,rti,1,"Bonnewell, John P","Crump, John A",,,United States,New Zealand
bonnewell-j--kilonzo-k#rti,bonnewell-j--kilonzo-k,bonnewell-j,kilonzo-k,rti,1,"Bonnewell, John P","Kilonzo, Kajiru G",,,United States,Tanzania
bonnewell-j--linster-m#rti,bonnewell-j--linster-m,bonnewell-j,linster-m,rti,1,"Bonnewell, John P","Linster, Martin",,Duke-NUS Medical School,United States,Singapore
bonnewell-j--lwezaula-b#rti,bonnewell-j--lwezaula-b,bonnewell-j,lwezaula-b,rti,1,"Bonnewell, John P","Lwezaula, Bingileki",,,United States,Tanzania
bonnewell-j--machare-c#rti,bonnewell-j--machare-c,bonnewell-j,machare-c,rti,1,"Bonnewell, John P","Machare, Calvin",,,United States,Tanzania
bonnewell-j--madut-d#rti,bonnewell-j--madut-d,bonnewell-j,madut-d,rti,1,"Bonnewell, John P","Madut, Deng B",,,United States,United States
bonnewell-j--mah-m#rti,bonnewell-j--mah-m,bonnewell-j,mah-m,rti,1,"Bonnewell, John P","Mah, Marcus G",,Duke-NUS Medical School,United States,Singapore
bonnewell-j--marandu-a#rti,bonnewell-j--marandu-a,bonnewell-j,marandu-a,rti,1,"Bonnewell, John P","Marandu, Annette",,,United States,Tanzania
bonnewell-j--maro-v#rti,bonnewell-j--maro-v,bonnewell-j,maro-v,rti,1,"Bonnewell, John P","Maro, Venance P",,,United States,Tanzania
bonnewell-j--maze-m#rti,bonnewell-j--maze-m,bonnewell-j,maze-m,rti,1,"Bonnewell, John P","Maze, Michael J",,,United States,New Zealand
bonnewell-j--mbwasi-r#rti,bonnewell-j--mbwasi-r,bonnewell-j,mbwasi-r,rti,1,"Bonnewell, John P","Mbwasi, Ronald",,,United States,Tanzania
bonnewell-j--mmbaga-b#rti,bonnewell-j--mmbaga-b,bonnewell-j,mmbaga-b,rti,1,"Bonnewell, John P","Mmbaga, Blandina T",,,United States,Tanzania
bonnewell-j--moorthy-g#rti,bonnewell-j--moorthy-g,bonnewell-j,moorthy-g,rti,1,"Bonnewell, John P","Moorthy, Ganga",,,United States,United States
bonnewell-j--ngocho-j#rti,bonnewell-j--ngocho-j,bonnewell-j,ngocho-j,rti,1,"Bonnewell, John P","Ngocho, James S",,,United States,Tanzania
bonnewell-j--rubach-m#rti,bonnewell-j--rubach-m,bonnewell-j,rubach-m,rti,1,"Bonnewell, John P","Rubach, Matthew P",,Duke-NUS Medical School,United States,Singapore
bonnewell-j--smith-g#rti,bonnewell-j--smith-g,bonnewell-j,smith-g,rti,1,"Bonnewell, John P","Smith, Gavin Jd",,Duke-NUS Medical School,United States,Singapore
bonnewell-j--wang-l#rti,bonnewell-j--wang-l,bonnewell-j,wang-l,rti,1,"Bonnewell, John P","Wang, Lin-Fa",,Duke-NUS Medical School,United States,Singapore
bonnewell-j--zahari-m#rti,bonnewell-j--zahari-m,bonnewell-j,zahari-m,rti,1,"Bonnewell, John P","Zahari, Marina",,National University of Singapore,United States,Singapore
bonnewell-j--zhuang-y#rti,bonnewell-j--zhuang-y,bonnewell-j,zhuang-y,rti,1,"Bonnewell, John P","Zhuang, Yan",,Duke-NUS Medical School,United States,Singapore
carugati-m--crump-j#rti,carugati-m--crump-j,carugati-m,crump-j,rti,1,"Carugati, Manuela","Crump, John A",,,United States,New Zealand
carugati-m--kilonzo-k#rti,carugati-m--kilonzo-k,carugati-m,kilonzo-k,rti,1,"Carugati, Manuela","Kilonzo, Kajiru G",,,United States,Tanzania
carugati-m--linster-m#rti,carugati-m--linster-m,carugati-m,linster-m,rti,1,"Carugati, Manuela","Linster, Martin",,Duke-NUS Medical School,United States,Singapore
carugati-m--lwezaula-b#rti,carugati-m--lwezaula-b,carugati-m,lwezaula-b,rti,1,"Carugati, Manuela","Lwezaula, Bingileki",,,United States,Tanzania
carugati-m--machare-c#rti,carugati-m--machare-c,carugati-m,machare-c,rti,1,"Carugati, Manuela","Machare, Calvin",,,United States,Tanzania
carugati-m--madut-d#rti,carugati-m--madut-d,carugati-m,madut-d,rti,1,"Carugati, Manuela","Madut, Deng B",,,United States,United States
carugati-m--mah-m#rti,carugati-m--mah-m,carugati-m,mah-m,rti,1,"Carugati, Manuela","Mah, Marcus G",,Duke-NUS Medical School,United States,Singapore
carugati-m--marandu-a#rti,carugati-m--marandu-a,carugati-m,marandu-a,rti,1,"Carugati, Manuela","Marandu, Annette",,,United States,Tanzania
carugati-m--maro-v#rti,carugati-m--maro-v,carugati-m,maro-v,rti,1,"Carugati, Manuela","Maro, Venance P",,,United States,Tanzania
carugati-m--maze-m#rti,carugati-m--maze-m,carugati-m,maze-m,rti,1,"Carugati, Manuela","Maze, Michael J",,,United States,New Zealand
carugati-m--mbwasi-r#rti,carugati-m--mbwasi-r,carugati-m,mbwasi-r,rti,1,"Carugati, Manuela","Mbwasi, Ronald",,,United States,Tanzania
carugati-m--mmbaga-b#rti,carugati-m--mmbaga-b,carugati-m,mmbaga-b,rti,1,"Carugati, Manuela","Mmbaga, Blandina T",,,United States,Tanzania
carugati-m--moorthy-g#rti,carugati-m--moorthy-g,carugati-m,moorthy-g,rti,1,"Carugati, Manuela","Moorthy, Ganga",,,United States,United States
carugati-m--ngocho-j#rti,carugati-m--ngocho-j,carugati-m,ngocho-j,rti,1,"Carugati, Manuela","Ngocho, James S",,,United States,Tanzania
carugati-m--rubach-m#rti,carugati-m--rubach-m,carugati-m,rubach-m,rti,1,"Carugati, Manuela","Rubach, Matthew P",,Duke-NUS Medical School,United States,Singapore
carugati-m--smith-g#rti,carugati-m--smith-g,carugati-m,smith-g,rti,1,"Carugati, Manuela","Smith, Gavin Jd",,Duke-NUS Medical School,United States,Singapore
carugati-m--wang-l#rti,carugati-m--wang-l,carugati-m,wang-l,rti,1,"Carugati, Manuela","Wang, Lin-Fa",,Duke-NUS Medical School,United States,Singapore
carugati-m--zahari-m#rti,carugati-m--zahari-m,carugati-m,zahari-m,rti,1,"Carugati, Manuela","Zahari, Marina",,National University of Singapore,United States,Singapore
