edge_id,pair_id,source,target,domain,weight,source_name,target_name,source_institution,target_institution,source_country,target_country
mitnick-c--romo-m#tb,mitnick-c--romo-m,mitnick-c,romo-m,tb,4,"Mitnick, Carole D","Romo, Matthew L",Harvard University,Harvard University,United States,United States
rich-m--romo-m#tb,rich-m--romo-m,rich-m,romo-m,tb,4,"Rich, Michael L","Romo, Matthew L",,Harvard University,United States,United States
berney-m--pethe-k#tb,berney-m--pethe-k,berney-m,pethe-k,tb,4,"Berney, Michael","Pethe, Kevin",,Nanyang Technological University,Switzerland,Singapore
doi-y--paterson-d#amr_hai,doi-y--paterson-d,doi-y,paterson-d,amr_hai,4,"Doi, Yohei","Paterson, David L",,National University of Singapore,Japan,Singapore
chang-c--lim-j#vector_borne,chang-c--lim-j,chang-c,lim-j,vector_borne,4,"Chang, Chia-Chen","Lim, Jue Tao",,Nanyang Technological University,Singapore,Singapore
chang-c--tan-c#vector_borne,chang-c--tan-c,chang-c,tan-c,vector_borne,4,"Chang, Chia-Chen","Tan, Cheong Huat",,Nanyang Technological University,Singapore,Singapore
bastard-m--lahood-a#tb,bastard-m--lahood-a,bastard-m,lahood-a,tb,4,"Bastard, Mathieu","LaHood, Allison",,Harvard University,France,United States
bastard-m--siddiqui-m#tb,bastard-m--siddiqui-m,bastard-m,siddiqui-m,tb,4,"Bastard, Mathieu","Siddiqui, Muhammad Rafi",,,France,Pakistan
franke-m--lahood-a#tb,franke-m--lahood-a,franke-m,lahood-a,tb,4,"Franke, Molly","LaHood, Allison",Harvard University,Harvard University,United States,United States
franke-m--siddiqui-m#tb,franke-m--siddiqui-m,franke-m,siddiqui-m,tb,4,"Franke, Molly","Siddiqui, Muhammad Rafi",Harvard University,,United States,Pakistan
hewison-c--lahood-a#tb,hewison-c--lahood-a,hewison-c,lahood-a,tb,4,"Hewison, Catherine","LaHood, Allison",,Harvard University,France,United States
hewison-c--siddiqui-m#tb,hewison-c--siddiqui-m,hewison-c,siddiqui-m,tb,4,"Hewison, Catherine","Siddiqui, Muhammad Rafi",,,France,Pakistan
huerga-h--lahood-a#tb,huerga-h--lahood-a,huerga-h,lahood-a,tb,4,"Huerga, Helena","LaHood, Allison",,Harvard University,France,United States
huerga-h--siddiqui-m#tb,huerga-h--siddiqui-m,huerga-h,siddiqui-m,tb,4,"Huerga, Helena","Siddiqui, Muhammad Rafi",,,France,Pakistan
khan-p--lahood-a#tb,khan-p--lahood-a,khan-p,lahood-a,tb,4,"Khan, Palwasha Y","LaHood, Allison",London School of Hygiene & Tropical Medicine,Harvard University,Singapore,United States
khan-p--siddiqui-m#tb,khan-p--siddiqui-m,khan-p,siddiqui-m,tb,4,"Khan, Palwasha Y","Siddiqui, Muhammad Rafi",London School of Hygiene & Tropical Medicine,,Singapore,Pakistan
khan-p--skrahina-a#tb,khan-p--skrahina-a,khan-p,skrahina-a,tb,4,"Khan, Palwasha Y","Skrahina, Alena",London School of Hygiene & Tropical Medicine,,Singapore,
khan-u--skrahina-a#tb,khan-u--skrahina-a,khan-u,skrahina-a,tb,4,"Khan, Uzma","Skrahina, Alena",,,Singapore,
lahood-a--mitnick-c#tb,lahood-a--mitnick-c,lahood-a,mitnick-c,tb,4,"LaHood, Allison","Mitnick, Carole D",Harvard University,Harvard University,United States,United States
lahood-a--rich-m#tb,lahood-a--rich-m,lahood-a,rich-m,tb,4,"LaHood, Allison","Rich, Michael L",Harvard University,,United States,United States
mitnick-c--siddiqui-m#tb,mitnick-c--siddiqui-m,mitnick-c,siddiqui-m,tb,4,"Mitnick, Carole D","Siddiqui, Muhammad Rafi",Harvard University,,United States,Pakistan
rich-m--siddiqui-m#tb,rich-m--siddiqui-m,rich-m,siddiqui-m,tb,4,"Rich, Michael L","Siddiqui, Muhammad Rafi",,,United States,Pakistan
rich-m--skrahina-a#tb,rich-m--skrahina-a,rich-m,skrahina-a,tb,4,"Rich, Michael L","Skrahina, Alena",,,United States,
chain-g--chong-c#vector_borne,chain-g--chong-c,chain-g,chong-c,vector_borne,4,"Chain, Grace","Chong, Chee-Seng",Environmental Health Institute,KK Women's and Children's Hospital,Singapore,Singapore
chain-g--dickens-b#vector_borne,chain-g--dickens-b,chain-g,dickens-b,vector_borne,4,"Chain, Grace","Dickens, Borame",Environmental Health Institute,National University of Singapore,Singapore,Singapore
chain-g--lee-c#vector_borne,chain-g--lee-c,chain-g,lee-c,vector_borne,4,"Chain, Grace","Lee, Caleb",Environmental Health Institute,"Agency for Science, Technology and Research",Singapore,Singapore
chain-g--lim-j#vector_borne,chain-g--lim-j,chain-g,lim-j,vector_borne,4,"Chain, Grace","Lim, Jue Tao",Environmental Health Institute,Nanyang Technological University,Singapore,Singapore
chain-g--ng-l#vector_borne,chain-g--ng-l,chain-g,ng-l,vector_borne,4,"Chain, Grace","Ng, Lee Ching",Environmental Health Institute,Environmental Health Institute,Singapore,Singapore
chain-g--ng-y#vector_borne,chain-g--ng-y,chain-g,ng-y,vector_borne,4,"Chain, Grace","Ng, Youming",Environmental Health Institute,KK Women's and Children's Hospital,Singapore,Singapore
chain-g--sim-s#vector_borne,chain-g--sim-s,chain-g,sim-s,vector_borne,4,"Chain, Grace","Sim, Shuzhen",Environmental Health Institute,Environmental Health Institute,Singapore,Singapore
chain-g--tan-c#vector_borne,chain-g--tan-c,chain-g,tan-c,vector_borne,4,"Chain, Grace","Tan, Cheong Huat",Environmental Health Institute,Nanyang Technological University,Singapore,Singapore
chain-g--tan-l#vector_borne,chain-g--tan-l,chain-g,tan-l,vector_borne,4,"Chain, Grace","Tan, Li Yun",Environmental Health Institute,,Singapore,United States
chang-c--sim-s#vector_borne,chang-c--sim-s,chang-c,sim-s,vector_borne,4,"Chang, Chia-Chen","Sim, Shuzhen",,Environmental Health Institute,Singapore,Singapore
chong-c--dickens-b#vector_borne,chong-c--dickens-b,chong-c,dickens-b,vector_borne,4,"Chong, Chee-Seng","Dickens, Borame",KK Women's and Children's Hospital,National University of Singapore,Singapore,Singapore
chong-c--lee-c#vector_borne,chong-c--lee-c,chong-c,lee-c,vector_borne,4,"Chong, Chee-Seng","Lee, Caleb",KK Women's and Children's Hospital,"Agency for Science, Technology and Research",Singapore,Singapore
chong-c--lim-j#vector_borne,chong-c--lim-j,chong-c,lim-j,vector_borne,4,"Chong, Chee-Seng","Lim, Jue Tao",KK Women's and Children's Hospital,Nanyang Technological University,Singapore,Singapore
chong-c--ng-y#vector_borne,chong-c--ng-y,chong-c,ng-y,vector_borne,4,"Chong, Chee-Seng","Ng, Youming",KK Women's and Children's Hospital,KK Women's and Children's Hospital,Singapore,Singapore
chong-c--sim-s#vector_borne,chong-c--sim-s,chong-c,sim-s,vector_borne,4,"Chong, Chee-Seng","Sim, Shuzhen",KK Women's and Children's Hospital,Environmental Health Institute,Singapore,Singapore
chong-c--tan-l#vector_borne,chong-c--tan-l,chong-c,tan-l,vector_borne,4,"Chong, Chee-Seng","Tan, Li Yun",KK Women's and Children's Hospital,,Singapore,United States
