edge_id,pair_id,source,target,domain,weight,source_country,target_country,source_region,target_region,is_cross_border,involves_singapore
A*STAR Infectious Diseases Labs--University of Malaya#vector_borne,A*STAR Infectious Diseases Labs--University of Malaya,A*STAR Infectious Diseases Labs,University of Malaya,vector_borne,3,Singapore,Malaysia,Southeast Asia,Southeast Asia,1,1
Nanyang Technological University--National Centre for Infectious Diseases#other_id,Nanyang Technological University--National Centre for Infectious Diseases,Nanyang Technological University,National Centre for Infectious Diseases,other_id,3,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
A*STAR Infectious Diseases Labs--National University of Singapore#vector_borne,A*STAR Infectious Diseases Labs--National University of Singapore,A*STAR Infectious Diseases Labs,National University of Singapore,vector_borne,3,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
Duke-NUS Medical School--Nanyang Technological University#tb,Duke-NUS Medical School--Nanyang Technological University,Duke-NUS Medical School,Nanyang Technological University,tb,3,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
Duke-NUS Medical School--Tan Tock Seng Hospital#tb,Duke-NUS Medical School--Tan Tock Seng Hospital,Duke-NUS Medical School,Tan Tock Seng Hospital,tb,3,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
Duke-NUS Medical School--Universitas Indonesia#tb,Duke-NUS Medical School--Universitas Indonesia,Duke-NUS Medical School,Universitas Indonesia,tb,3,Singapore,Indonesia,Southeast Asia,Southeast Asia,1,1
Nanyang Technological University--Universitas Indonesia#tb,Nanyang Technological University--Universitas Indonesia,Nanyang Technological University,Universitas Indonesia,tb,3,Singapore,Indonesia,Southeast Asia,Southeast Asia,1,1
Tan Tock Seng Hospital--Universitas Indonesia#tb,Tan Tock Seng Hospital--Universitas Indonesia,Tan Tock Seng Hospital,Universitas Indonesia,tb,3,Singapore,Indonesia,Southeast Asia,Southeast Asia,1,1
National University of Singapore--University of Melbourne#amr_hai,National University of Singapore--University of Melbourne,National University of Singapore,University of Melbourne,amr_hai,3,Singapore,Australia,Southeast Asia,Oceania,1,1
Experimental Drug Development Centre--Nanyang Technological University#vector_borne,Experimental Drug Development Centre--Nanyang Technological University,Experimental Drug Development Centre,Nanyang Technological University,vector_borne,3,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
