edge_id,pair_id,source,target,domain,weight,source_country,target_country,source_region,target_region,is_cross_border,involves_singapore
National University of Singapore--University of Melbourne#tb,National University of Singapore--University of Melbourne,National University of Singapore,University of Melbourne,tb,2,Singapore,Australia,Southeast Asia,Oceania,1,1
Oxford University Clinical Research Unit--University of Melbourne#tb,Oxford University Clinical Research Unit--University of Melbourne,Oxford University Clinical Research Unit,University of Melbourne,tb,2,Viet Nam,Australia,Southeast Asia,Oceania,1,0
A*STAR Infectious Diseases Labs--Mahidol University#vector_borne,A*STAR Infectious Diseases Labs--Mahidol University,A*STAR Infectious Diseases Labs,Mahidol University,vector_borne,2,Singapore,Thailand,Southeast Asia,Southeast Asia,1,1
London School of Hygiene & Tropical Medicine--University of Hong Kong#sti,London School of Hygiene & Tropical Medicine--University of Hong Kong,London School of Hygiene & Tropical Medicine,University of Hong Kong,sti,2,United Kingdom,Hong Kong SAR,Europe,East Asia,1,0
National Cancer Centre Singapore--Singapore General Hospital#tb,National Cancer Centre Singapore--Singapore General Hospital,National Cancer Centre Singapore,Singapore General Hospital,tb,2,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
National Cancer Centre Singapore--Tan Tock Seng Hospital#tb,National Cancer Centre Singapore--Tan Tock Seng Hospital,National Cancer Centre Singapore,Tan Tock Seng Hospital,tb,2,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
Duke-NUS Medical School--Nanyang Technological University#amr_hai,Duke-NUS Medical School--Nanyang Technological University,Duke-NUS Medical School,Nanyang Technological University,amr_hai,2,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
Nanyang Technological University--Singapore General Hospital#amr_hai,Nanyang Technological University--Singapore General Hospital,Nanyang Technological University,Singapore General Hospital,amr_hai,2,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
National University of Singapore--University of Oxford#sti,National University of Singapore--University of Oxford,National University of Singapore,University of Oxford,sti,2,Singapore,United Kingdom,Southeast Asia,Europe,1,1
Nanyang Technological University--University of Melbourne#amr_hai,Nanyang Technological University--University of Melbourne,Nanyang Technological University,University of Melbourne,amr_hai,2,Singapore,Australia,Southeast Asia,Oceania,1,1
National Centre for Infectious Diseases--University of Melbourne#amr_hai,National Centre for Infectious Diseases--University of Melbourne,National Centre for Infectious Diseases,University of Melbourne,amr_hai,2,Singapore,Australia,Southeast Asia,Oceania,1,1
Tan Tock Seng Hospital--University of Melbourne#amr_hai,Tan Tock Seng Hospital--University of Melbourne,Tan Tock Seng Hospital,University of Melbourne,amr_hai,2,Singapore,Australia,Southeast Asia,Oceania,1,1
London School of Hygiene & Tropical Medicine--University of Melbourne#tb,London School of Hygiene & Tropical Medicine--University of Melbourne,London School of Hygiene & Tropical Medicine,University of Melbourne,tb,2,United Kingdom,Australia,Europe,Oceania,1,0
National University of Singapore--University of Oxford#tb,National University of Singapore--University of Oxford,National University of Singapore,University of Oxford,tb,2,Singapore,United Kingdom,Southeast Asia,Europe,1,1
National University of Singapore--University of Malaya#vector_borne,National University of Singapore--University of Malaya,National University of Singapore,University of Malaya,vector_borne,2,Singapore,Malaysia,Southeast Asia,Southeast Asia,1,1
Experimental Drug Development Centre--National Centre for Infectious Diseases#vector_borne,Experimental Drug Development Centre--National Centre for Infectious Diseases,Experimental Drug Development Centre,National Centre for Infectious Diseases,vector_borne,2,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
National University of Singapore--World Health Organization#tb,National University of Singapore--World Health Organization,National University of Singapore,World Health Organization,tb,2,Singapore,Switzerland,Southeast Asia,Europe,1,1
Changi General Hospital--National University of Singapore#other_id,Changi General Hospital--National University of Singapore,Changi General Hospital,National University of Singapore,other_id,2,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
Changi General Hospital--Singapore General Hospital#other_id,Changi General Hospital--Singapore General Hospital,Changi General Hospital,Singapore General Hospital,other_id,2,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
SingHealth--Singapore Immunology Network#vector_borne,SingHealth--Singapore Immunology Network,SingHealth,Singapore Immunology Network,vector_borne,2,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
National Centre for Infectious Diseases--Singapore General Hospital#tb,National Centre for Infectious Diseases--Singapore General Hospital,National Centre for Infectious Diseases,Singapore General Hospital,tb,2,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
Duke-NUS Medical School--National University of Singapore#other_id,Duke-NUS Medical School--National University of Singapore,Duke-NUS Medical School,National University of Singapore,other_id,2,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
Duke-NUS Medical School--Singapore General Hospital#other_id,Duke-NUS Medical School--Singapore General Hospital,Duke-NUS Medical School,Singapore General Hospital,other_id,2,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
London School of Hygiene & Tropical Medicine--National University of Singapore#amr_hai,London School of Hygiene & Tropical Medicine--National University of Singapore,London School of Hygiene & Tropical Medicine,National University of Singapore,amr_hai,2,United Kingdom,Singapore,Europe,Southeast Asia,1,1
Nanyang Technological University--National University Hospital#other_id,Nanyang Technological University--National University Hospital,Nanyang Technological University,National University Hospital,other_id,2,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
Nanyang Technological University--Singapore General Hospital#other_id,Nanyang Technological University--Singapore General Hospital,Nanyang Technological University,Singapore General Hospital,other_id,2,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
National Centre for Infectious Diseases--National University of Singapore#other_id,National Centre for Infectious Diseases--National University of Singapore,National Centre for Infectious Diseases,National University of Singapore,other_id,2,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
National University Hospital--National University of Singapore#other_id,National University Hospital--National University of Singapore,National University Hospital,National University of Singapore,other_id,2,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
National University Hospital--Singapore General Hospital#other_id,National University Hospital--Singapore General Hospital,National University Hospital,Singapore General Hospital,other_id,2,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
Nanyang Technological University--University of Oxford#tb,Nanyang Technological University--University of Oxford,Nanyang Technological University,University of Oxford,tb,2,Singapore,United Kingdom,Southeast Asia,Europe,1,1
National University Hospital--Singapore General Hospital#tb,National University Hospital--Singapore General Hospital,National University Hospital,Singapore General Hospital,tb,2,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
National University Hospital--Tan Tock Seng Hospital#tb,National University Hospital--Tan Tock Seng Hospital,National University Hospital,Tan Tock Seng Hospital,tb,2,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
National University of Singapore--Singapore General Hospital#tb,National University of Singapore--Singapore General Hospital,National University of Singapore,Singapore General Hospital,tb,2,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
London School of Hygiene & Tropical Medicine--National University Hospital#tb,London School of Hygiene & Tropical Medicine--National University Hospital,London School of Hygiene & Tropical Medicine,National University Hospital,tb,2,United Kingdom,Singapore,Europe,Southeast Asia,1,1
Mahidol University--World Health Organization#vector_borne,Mahidol University--World Health Organization,Mahidol University,World Health Organization,vector_borne,1,Thailand,Switzerland,Southeast Asia,Europe,1,0
University of Oxford--World Health Organization#vector_borne,University of Oxford--World Health Organization,University of Oxford,World Health Organization,vector_borne,1,United Kingdom,Switzerland,Europe,Europe,1,0
National Centre for Infectious Diseases--University of Melbourne#tb,National Centre for Infectious Diseases--University of Melbourne,National Centre for Infectious Diseases,University of Melbourne,tb,1,Singapore,Australia,Southeast Asia,Oceania,1,1
Communicable Diseases Agency--KK Women's and Children's Hospital#rti,Communicable Diseases Agency--KK Women's and Children's Hospital,Communicable Diseases Agency,KK Women's and Children's Hospital,rti,1,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
Communicable Diseases Agency--National University Health System#rti,Communicable Diseases Agency--National University Health System,Communicable Diseases Agency,National University Health System,rti,1,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
Communicable Diseases Agency--National University Hospital#rti,Communicable Diseases Agency--National University Hospital,Communicable Diseases Agency,National University Hospital,rti,1,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
KK Women's and Children's Hospital--National Centre for Infectious Diseases#rti,KK Women's and Children's Hospital--National Centre for Infectious Diseases,KK Women's and Children's Hospital,National Centre for Infectious Diseases,rti,1,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
KK Women's and Children's Hospital--Tan Tock Seng Hospital#rti,KK Women's and Children's Hospital--Tan Tock Seng Hospital,KK Women's and Children's Hospital,Tan Tock Seng Hospital,rti,1,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
Nanyang Technological University--National University Health System#rti,Nanyang Technological University--National University Health System,Nanyang Technological University,National University Health System,rti,1,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
Nanyang Technological University--National University Hospital#rti,Nanyang Technological University--National University Hospital,Nanyang Technological University,National University Hospital,rti,1,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
National Centre for Infectious Diseases--National University Health System#rti,National Centre for Infectious Diseases--National University Health System,National Centre for Infectious Diseases,National University Health System,rti,1,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
National Centre for Infectious Diseases--National University Hospital#rti,National Centre for Infectious Diseases--National University Hospital,National Centre for Infectious Diseases,National University Hospital,rti,1,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
National University Health System--Singapore General Hospital#rti,National University Health System--Singapore General Hospital,National University Health System,Singapore General Hospital,rti,1,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
Khoo Teck Puat Hospital--National University Hospital#tb,Khoo Teck Puat Hospital--National University Hospital,Khoo Teck Puat Hospital,National University Hospital,tb,1,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
National University of Singapore--US Centers for Disease Control and Prevention#tb,National University of Singapore--US Centers for Disease Control and Prevention,National University of Singapore,US Centers for Disease Control and Prevention,tb,1,Singapore,United States,Southeast Asia,North America,1,1
Mahidol University--National Centre for Infectious Diseases#sti,Mahidol University--National Centre for Infectious Diseases,Mahidol University,National Centre for Infectious Diseases,sti,1,Thailand,Singapore,Southeast Asia,Southeast Asia,1,1
Mahidol University--Universitas Indonesia#sti,Mahidol University--Universitas Indonesia,Mahidol University,Universitas Indonesia,sti,1,Thailand,Indonesia,Southeast Asia,Southeast Asia,1,0
Mahidol University--University of Malaya#sti,Mahidol University--University of Malaya,Mahidol University,University of Malaya,sti,1,Thailand,Malaysia,Southeast Asia,Southeast Asia,1,0
National Centre for Infectious Diseases--Universitas Indonesia#sti,National Centre for Infectious Diseases--Universitas Indonesia,National Centre for Infectious Diseases,Universitas Indonesia,sti,1,Singapore,Indonesia,Southeast Asia,Southeast Asia,1,1
Universitas Indonesia--University of Malaya#sti,Universitas Indonesia--University of Malaya,Universitas Indonesia,University of Malaya,sti,1,Indonesia,Malaysia,Southeast Asia,Southeast Asia,1,0
Imperial College London--London School of Hygiene & Tropical Medicine#vector_borne,Imperial College London--London School of Hygiene & Tropical Medicine,Imperial College London,London School of Hygiene & Tropical Medicine,vector_borne,1,United Kingdom,United Kingdom,Europe,Europe,0,0
Imperial College London--National University of Singapore#vector_borne,Imperial College London--National University of Singapore,Imperial College London,National University of Singapore,vector_borne,1,United Kingdom,Singapore,Europe,Southeast Asia,1,1
London School of Hygiene & Tropical Medicine--World Health Organization#vector_borne,London School of Hygiene & Tropical Medicine--World Health Organization,London School of Hygiene & Tropical Medicine,World Health Organization,vector_borne,1,United Kingdom,Switzerland,Europe,Europe,1,0
National Cancer Centre Singapore--SingHealth#rti,National Cancer Centre Singapore--SingHealth,National Cancer Centre Singapore,SingHealth,rti,1,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
National Cancer Centre Singapore--Singapore General Hospital#rti,National Cancer Centre Singapore--Singapore General Hospital,National Cancer Centre Singapore,Singapore General Hospital,rti,1,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
National University Hospital--University of Hong Kong#rti,National University Hospital--University of Hong Kong,National University Hospital,University of Hong Kong,rti,1,Singapore,Hong Kong SAR,Southeast Asia,East Asia,1,1
Harvard University--National University of Singapore#sti,Harvard University--National University of Singapore,Harvard University,National University of Singapore,sti,1,United States,Singapore,North America,Southeast Asia,1,1
Mahidol University--Singapore General Hospital#amr_hai,Mahidol University--Singapore General Hospital,Mahidol University,Singapore General Hospital,amr_hai,1,Thailand,Singapore,Southeast Asia,Southeast Asia,1,1
Mahidol University--Universitas Indonesia#amr_hai,Mahidol University--Universitas Indonesia,Mahidol University,Universitas Indonesia,amr_hai,1,Thailand,Indonesia,Southeast Asia,Southeast Asia,1,0
Mahidol University--University of Hong Kong#amr_hai,Mahidol University--University of Hong Kong,Mahidol University,University of Hong Kong,amr_hai,1,Thailand,Hong Kong SAR,Southeast Asia,East Asia,1,0
National University Hospital--Singapore General Hospital#amr_hai,National University Hospital--Singapore General Hospital,National University Hospital,Singapore General Hospital,amr_hai,1,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
National University Hospital--Universitas Indonesia#amr_hai,National University Hospital--Universitas Indonesia,National University Hospital,Universitas Indonesia,amr_hai,1,Singapore,Indonesia,Southeast Asia,Southeast Asia,1,1
National University Hospital--University of Hong Kong#amr_hai,National University Hospital--University of Hong Kong,National University Hospital,University of Hong Kong,amr_hai,1,Singapore,Hong Kong SAR,Southeast Asia,East Asia,1,1
National University of Singapore--Universitas Indonesia#amr_hai,National University of Singapore--Universitas Indonesia,National University of Singapore,Universitas Indonesia,amr_hai,1,Singapore,Indonesia,Southeast Asia,Southeast Asia,1,1
National University of Singapore--University of Hong Kong#amr_hai,National University of Singapore--University of Hong Kong,National University of Singapore,University of Hong Kong,amr_hai,1,Singapore,Hong Kong SAR,Southeast Asia,East Asia,1,1
Oxford University Clinical Research Unit--Singapore General Hospital#amr_hai,Oxford University Clinical Research Unit--Singapore General Hospital,Oxford University Clinical Research Unit,Singapore General Hospital,amr_hai,1,Viet Nam,Singapore,Southeast Asia,Southeast Asia,1,1
Oxford University Clinical Research Unit--Universitas Indonesia#amr_hai,Oxford University Clinical Research Unit--Universitas Indonesia,Oxford University Clinical Research Unit,Universitas Indonesia,amr_hai,1,Viet Nam,Indonesia,Southeast Asia,Southeast Asia,1,0
Oxford University Clinical Research Unit--University of Hong Kong#amr_hai,Oxford University Clinical Research Unit--University of Hong Kong,Oxford University Clinical Research Unit,University of Hong Kong,amr_hai,1,Viet Nam,Hong Kong SAR,Southeast Asia,East Asia,1,0
Singapore General Hospital--Universitas Indonesia#amr_hai,Singapore General Hospital--Universitas Indonesia,Singapore General Hospital,Universitas Indonesia,amr_hai,1,Singapore,Indonesia,Southeast Asia,Southeast Asia,1,1
Singapore General Hospital--University of Oxford#amr_hai,Singapore General Hospital--University of Oxford,Singapore General Hospital,University of Oxford,amr_hai,1,Singapore,United Kingdom,Southeast Asia,Europe,1,1
Universitas Indonesia--University of Hong Kong#amr_hai,Universitas Indonesia--University of Hong Kong,Universitas Indonesia,University of Hong Kong,amr_hai,1,Indonesia,Hong Kong SAR,Southeast Asia,East Asia,1,0
Universitas Indonesia--University of Oxford#amr_hai,Universitas Indonesia--University of Oxford,Universitas Indonesia,University of Oxford,amr_hai,1,Indonesia,United Kingdom,Southeast Asia,Europe,1,0
University of Hong Kong--University of Oxford#amr_hai,University of Hong Kong--University of Oxford,University of Hong Kong,University of Oxford,amr_hai,1,Hong Kong SAR,United Kingdom,East Asia,Europe,1,0
National University of Singapore--University of Cambridge#other_id,National University of Singapore--University of Cambridge,National University of Singapore,University of Cambridge,other_id,1,Singapore,United Kingdom,Southeast Asia,Europe,1,1
London School of Hygiene & Tropical Medicine--Nanyang Technological University#sti,London School of Hygiene & Tropical Medicine--Nanyang Technological University,London School of Hygiene & Tropical Medicine,Nanyang Technological University,sti,1,United Kingdom,Singapore,Europe,Southeast Asia,1,1
London School of Hygiene & Tropical Medicine--National Centre for Infectious Diseases#sti,London School of Hygiene & Tropical Medicine--National Centre for Infectious Diseases,London School of Hygiene & Tropical Medicine,National Centre for Infectious Diseases,sti,1,United Kingdom,Singapore,Europe,Southeast Asia,1,1
Nanyang Technological University--National Centre for Infectious Diseases#sti,Nanyang Technological University--National Centre for Infectious Diseases,Nanyang Technological University,National Centre for Infectious Diseases,sti,1,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
Nanyang Technological University--National University of Singapore#sti,Nanyang Technological University--National University of Singapore,Nanyang Technological University,National University of Singapore,sti,1,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
Communicable Diseases Agency--Institute of Mental Health#rti,Communicable Diseases Agency--Institute of Mental Health,Communicable Diseases Agency,Institute of Mental Health,rti,1,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
Institute of Mental Health--Nanyang Technological University#rti,Institute of Mental Health--Nanyang Technological University,Institute of Mental Health,Nanyang Technological University,rti,1,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
Institute of Mental Health--National Centre for Infectious Diseases#rti,Institute of Mental Health--National Centre for Infectious Diseases,Institute of Mental Health,National Centre for Infectious Diseases,rti,1,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
Institute of Mental Health--National University of Singapore#rti,Institute of Mental Health--National University of Singapore,Institute of Mental Health,National University of Singapore,rti,1,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
Institute of Mental Health--Singapore General Hospital#rti,Institute of Mental Health--Singapore General Hospital,Institute of Mental Health,Singapore General Hospital,rti,1,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
Institute of Mental Health--Tan Tock Seng Hospital#rti,Institute of Mental Health--Tan Tock Seng Hospital,Institute of Mental Health,Tan Tock Seng Hospital,rti,1,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
Institute of Molecular and Cell Biology--National University of Singapore#rti,Institute of Molecular and Cell Biology--National University of Singapore,Institute of Molecular and Cell Biology,National University of Singapore,rti,1,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
Duke-NUS Medical School--SingHealth#rti,Duke-NUS Medical School--SingHealth,Duke-NUS Medical School,SingHealth,rti,1,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
A*STAR Infectious Diseases Labs--Bioinformatics Institute#rti,A*STAR Infectious Diseases Labs--Bioinformatics Institute,A*STAR Infectious Diseases Labs,Bioinformatics Institute,rti,1,Singapore,United Kingdom,Southeast Asia,Europe,1,1
A*STAR Infectious Diseases Labs--UK Health Security Agency#rti,A*STAR Infectious Diseases Labs--UK Health Security Agency,A*STAR Infectious Diseases Labs,UK Health Security Agency,rti,1,Singapore,United Kingdom,Southeast Asia,Europe,1,1
A*STAR Infectious Diseases Labs--University of Cambridge#rti,A*STAR Infectious Diseases Labs--University of Cambridge,A*STAR Infectious Diseases Labs,University of Cambridge,rti,1,Singapore,United Kingdom,Southeast Asia,Europe,1,1
Bioinformatics Institute--UK Health Security Agency#rti,Bioinformatics Institute--UK Health Security Agency,Bioinformatics Institute,UK Health Security Agency,rti,1,United Kingdom,United Kingdom,Europe,Europe,0,0
Bioinformatics Institute--University of Cambridge#rti,Bioinformatics Institute--University of Cambridge,Bioinformatics Institute,University of Cambridge,rti,1,United Kingdom,United Kingdom,Europe,Europe,0,0
UK Health Security Agency--University of Cambridge#rti,UK Health Security Agency--University of Cambridge,UK Health Security Agency,University of Cambridge,rti,1,United Kingdom,United Kingdom,Europe,Europe,0,0
Communicable Diseases Agency--Environmental Health Institute#tb,Communicable Diseases Agency--Environmental Health Institute,Communicable Diseases Agency,Environmental Health Institute,tb,1,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
Communicable Diseases Agency--Nanyang Technological University#tb,Communicable Diseases Agency--Nanyang Technological University,Communicable Diseases Agency,Nanyang Technological University,tb,1,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
Communicable Diseases Agency--National University of Singapore#tb,Communicable Diseases Agency--National University of Singapore,Communicable Diseases Agency,National University of Singapore,tb,1,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
Environmental Health Institute--Nanyang Technological University#tb,Environmental Health Institute--Nanyang Technological University,Environmental Health Institute,Nanyang Technological University,tb,1,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
Environmental Health Institute--National University of Singapore#tb,Environmental Health Institute--National University of Singapore,Environmental Health Institute,National University of Singapore,tb,1,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
National Centre for Infectious Diseases--National Skin Centre#vector_borne,National Centre for Infectious Diseases--National Skin Centre,National Centre for Infectious Diseases,National Skin Centre,vector_borne,1,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
Changi General Hospital--National Centre for Infectious Diseases#sti,Changi General Hospital--National Centre for Infectious Diseases,Changi General Hospital,National Centre for Infectious Diseases,sti,1,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
Changi General Hospital--National University Hospital#sti,Changi General Hospital--National University Hospital,Changi General Hospital,National University Hospital,sti,1,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
Changi General Hospital--National University of Singapore#sti,Changi General Hospital--National University of Singapore,Changi General Hospital,National University of Singapore,sti,1,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
Changi General Hospital--Singapore General Hospital#sti,Changi General Hospital--Singapore General Hospital,Changi General Hospital,Singapore General Hospital,sti,1,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
Changi General Hospital--Tan Tock Seng Hospital#sti,Changi General Hospital--Tan Tock Seng Hospital,Changi General Hospital,Tan Tock Seng Hospital,sti,1,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
National Centre for Infectious Diseases--Singapore General Hospital#sti,National Centre for Infectious Diseases--Singapore General Hospital,National Centre for Infectious Diseases,Singapore General Hospital,sti,1,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
National University of Singapore--Singapore General Hospital#sti,National University of Singapore--Singapore General Hospital,National University of Singapore,Singapore General Hospital,sti,1,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
National University of Singapore--Tan Tock Seng Hospital#sti,National University of Singapore--Tan Tock Seng Hospital,National University of Singapore,Tan Tock Seng Hospital,sti,1,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
Singapore General Hospital--Tan Tock Seng Hospital#sti,Singapore General Hospital--Tan Tock Seng Hospital,Singapore General Hospital,Tan Tock Seng Hospital,sti,1,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
Imperial College London--Nanyang Technological University#vector_borne,Imperial College London--Nanyang Technological University,Imperial College London,Nanyang Technological University,vector_borne,1,United Kingdom,Singapore,Europe,Southeast Asia,1,1
Imperial College London--National Centre for Infectious Diseases#vector_borne,Imperial College London--National Centre for Infectious Diseases,Imperial College London,National Centre for Infectious Diseases,vector_borne,1,United Kingdom,Singapore,Europe,Southeast Asia,1,1
Imperial College London--National Institutes of Health#vector_borne,Imperial College London--National Institutes of Health,Imperial College London,National Institutes of Health,vector_borne,1,United Kingdom,United States,Europe,North America,1,0
Imperial College London--UK Health Security Agency#vector_borne,Imperial College London--UK Health Security Agency,Imperial College London,UK Health Security Agency,vector_borne,1,United Kingdom,United Kingdom,Europe,Europe,0,0
Imperial College London--University of Cambridge#vector_borne,Imperial College London--University of Cambridge,Imperial College London,University of Cambridge,vector_borne,1,United Kingdom,United Kingdom,Europe,Europe,0,0
Imperial College London--University of Hong Kong#vector_borne,Imperial College London--University of Hong Kong,Imperial College London,University of Hong Kong,vector_borne,1,United Kingdom,Hong Kong SAR,Europe,East Asia,1,0
Nanyang Technological University--National Institutes of Health#vector_borne,Nanyang Technological University--National Institutes of Health,Nanyang Technological University,National Institutes of Health,vector_borne,1,Singapore,United States,Southeast Asia,North America,1,1
Nanyang Technological University--UK Health Security Agency#vector_borne,Nanyang Technological University--UK Health Security Agency,Nanyang Technological University,UK Health Security Agency,vector_borne,1,Singapore,United Kingdom,Southeast Asia,Europe,1,1
Nanyang Technological University--World Health Organization#vector_borne,Nanyang Technological University--World Health Organization,Nanyang Technological University,World Health Organization,vector_borne,1,Singapore,Switzerland,Southeast Asia,Europe,1,1
National Centre for Infectious Diseases--National Institutes of Health#vector_borne,National Centre for Infectious Diseases--National Institutes of Health,National Centre for Infectious Diseases,National Institutes of Health,vector_borne,1,Singapore,United States,Southeast Asia,North America,1,1
National Centre for Infectious Diseases--UK Health Security Agency#vector_borne,National Centre for Infectious Diseases--UK Health Security Agency,National Centre for Infectious Diseases,UK Health Security Agency,vector_borne,1,Singapore,United Kingdom,Southeast Asia,Europe,1,1
National Centre for Infectious Diseases--University of Cambridge#vector_borne,National Centre for Infectious Diseases--University of Cambridge,National Centre for Infectious Diseases,University of Cambridge,vector_borne,1,Singapore,United Kingdom,Southeast Asia,Europe,1,1
National Centre for Infectious Diseases--University of Hong Kong#vector_borne,National Centre for Infectious Diseases--University of Hong Kong,National Centre for Infectious Diseases,University of Hong Kong,vector_borne,1,Singapore,Hong Kong SAR,Southeast Asia,East Asia,1,1
National Centre for Infectious Diseases--World Health Organization#vector_borne,National Centre for Infectious Diseases--World Health Organization,National Centre for Infectious Diseases,World Health Organization,vector_borne,1,Singapore,Switzerland,Southeast Asia,Europe,1,1
National Institutes of Health--UK Health Security Agency#vector_borne,National Institutes of Health--UK Health Security Agency,National Institutes of Health,UK Health Security Agency,vector_borne,1,United States,United Kingdom,North America,Europe,1,0
National Institutes of Health--University of Cambridge#vector_borne,National Institutes of Health--University of Cambridge,National Institutes of Health,University of Cambridge,vector_borne,1,United States,United Kingdom,North America,Europe,1,0
National Institutes of Health--University of Hong Kong#vector_borne,National Institutes of Health--University of Hong Kong,National Institutes of Health,University of Hong Kong,vector_borne,1,United States,Hong Kong SAR,North America,East Asia,1,0
National Institutes of Health--World Health Organization#vector_borne,National Institutes of Health--World Health Organization,National Institutes of Health,World Health Organization,vector_borne,1,United States,Switzerland,North America,Europe,1,0
UK Health Security Agency--University of Cambridge#vector_borne,UK Health Security Agency--University of Cambridge,UK Health Security Agency,University of Cambridge,vector_borne,1,United Kingdom,United Kingdom,Europe,Europe,0,0
UK Health Security Agency--University of Hong Kong#vector_borne,UK Health Security Agency--University of Hong Kong,UK Health Security Agency,University of Hong Kong,vector_borne,1,United Kingdom,Hong Kong SAR,Europe,East Asia,1,0
UK Health Security Agency--World Health Organization#vector_borne,UK Health Security Agency--World Health Organization,UK Health Security Agency,World Health Organization,vector_borne,1,United Kingdom,Switzerland,Europe,Europe,1,0
University of Cambridge--University of Hong Kong#vector_borne,University of Cambridge--University of Hong Kong,University of Cambridge,University of Hong Kong,vector_borne,1,United Kingdom,Hong Kong SAR,Europe,East Asia,1,0
University of Cambridge--World Health Organization#vector_borne,University of Cambridge--World Health Organization,University of Cambridge,World Health Organization,vector_borne,1,United Kingdom,Switzerland,Europe,Europe,1,0
University of Hong Kong--World Health Organization#vector_borne,University of Hong Kong--World Health Organization,University of Hong Kong,World Health Organization,vector_borne,1,Hong Kong SAR,Switzerland,East Asia,Europe,1,0
Duke-NUS Medical School--Harvard University#sti,Duke-NUS Medical School--Harvard University,Duke-NUS Medical School,Harvard University,sti,1,Singapore,United States,Southeast Asia,North America,1,1
Duke-NUS Medical School--KK Women's and Children's Hospital#rti,Duke-NUS Medical School--KK Women's and Children's Hospital,Duke-NUS Medical School,KK Women's and Children's Hospital,rti,1,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
Nanyang Technological University--University of Oxford#amr_hai,Nanyang Technological University--University of Oxford,Nanyang Technological University,University of Oxford,amr_hai,1,Singapore,United Kingdom,Southeast Asia,Europe,1,1
Duke-NUS Medical School--London School of Hygiene & Tropical Medicine#vector_borne,Duke-NUS Medical School--London School of Hygiene & Tropical Medicine,Duke-NUS Medical School,London School of Hygiene & Tropical Medicine,vector_borne,1,Singapore,United Kingdom,Southeast Asia,Europe,1,1
