uid,pmid,pmc,doi,url,title,journal,journal_abbrev,year,pub_date,language,article_types,n_authors,n_institutions,n_countries,primary_domain,primary_domain_label,domains,is_multi_domain,primary_subdomain,subdomains,research_types,n_research_types,singapore_led,is_international,first_author,last_author,first_author_country,last_author_country,sg_institutions,countries,institutions,topic_id,topic_label,topic_terms,topic_map_x,topic_map_y,screening_decision,screening_decided_by,screening_rules,screening_flags,sources,query_ids,needs_manual_metadata
doi:10.1128/aac.00748-26,42560062,,10.1128/aac.00748-26,https://pubmed.ncbi.nlm.nih.gov/42560062/,"The effect of metformin on the pharmacokinetics of rifampicin, isoniazid, and pyrazinamide in adults with tuberculosis.",Antimicrobial agents and chemotherapy,Antimicrob Agents Chemother,2026,2026-08-06,eng,Journal Article|Randomized Controlled Trial,8,1,3,tb,Tuberculosis,tb|sti,1,Antitubercular Agents,Antitubercular Agents|Tuberculosis|Rifampin,Clinical studies,1,0,1,"Rossouw, Jacques","Wasmann, Roeland E",South Africa,South Africa,"Agency for Science, Technology and Research",Singapore|South Africa|United States,"Agency for Science, Technology and Research",tb_t1,"antitubercular, drug, agents, multidrug-resistant","antitubercular, drug, agents, multidrug-resistant, treatment, rifampin, drugs, mycobacterium",0.77378,0.493483,include,mechanical,INC-GEO-01,,pubmed,geo_amr_hai_4|geo_sti_1|geo_sti_3|geo_sti_4|geo_tb_1|geo_tb_2|geo_tb_3,0
doi:10.1186/s12929-026-01277-4,42509561,PMC13404113,10.1186/s12929-026-01277-4,https://pubmed.ncbi.nlm.nih.gov/42509561/,The current landscape of mRNA therapy and the strategies for mRNA purification and dsRNA removal.,Journal of biomedical science,J Biomed Sci,2026,2026-07-27,eng,Journal Article|Review,9,1,2,rti,Respiratory-tract infections,rti,0,SARS-CoV-2,SARS-CoV-2,Immunology|Treatment,2,1,1,"Liu, Jin-He","Ding, Ling-Wen",China,Singapore,National University of Singapore,China|Singapore,National University of Singapore,rti_t2,"sars-cov-2, responses, immune, vaccine","sars-cov-2, responses, immune, vaccine, vaccines, spike, humans, female",0.314146,0.584458,include,mechanical,INC-GEO-01,,pubmed,geo_rti_1|geo_rti_5,0
doi:10.1371/journal.pntd.0014395,42224379,PMC13245869,10.1371/journal.pntd.0014395,https://pubmed.ncbi.nlm.nih.gov/42224379/,The cost-effectiveness of Wolbachia-based biocontrol interventions for dengue: A scoping review of the available evidence.,PLoS neglected tropical diseases,PLoS Negl Trop Dis,2026,2026-06-01,eng,Journal Article|Scoping Review,6,4,4,vector_borne,Vector-borne diseases,vector_borne,0,Dengue,"Dengue|Aedes|Mosquito Vectors|Wolbachia|Mosquito Control|Pest Control, Biological",Entomology|Surveillance and epidemiology,2,1,1,"Turner, Hugo C","Clapham, Hannah E",United Kingdom,Singapore,National University of Singapore,Australia|Singapore|Switzerland|United Kingdom,Imperial College London|London School of Hygiene & Tropical Medicine|National University of Singapore|World Health Organization,vector_borne_t2,"surveillance, including, diversity, health","surveillance, including, diversity, health, capacity, research, evidence, integrated",0.677735,0.347605,include,mechanical,INC-GEO-01,,pubmed,geo_vector_borne_1|geo_vector_borne_3|geo_vector_borne_4|geo_vector_borne_5,0
doi:10.1038/s41467-026-74934-9,42401555,PMC13333017,10.1038/s41467-026-74934-9,https://pubmed.ncbi.nlm.nih.gov/42401555/,The burden of antimicrobial-resistant bacterial infections: a causal perspective.,Nature communications,Nat Commun,2026,2026-07-04,eng,"Journal Article|Review|Research Support, Non-U.S. Gov't",7,5,6,amr_hai,AMR and healthcare-associated infections,amr_hai,0,Anti-Bacterial Agents,Anti-Bacterial Agents|Bacteria,,0,0,1,"Lim, Cherry","Cooper, Ben S",Thailand,Thailand,National University Health System|National University of Singapore,Australia|Cambodia|Singapore|Thailand|United Kingdom|Viet Nam,Mahidol University|National University Health System|National University of Singapore|Oxford University Clinical Research Unit|University of Oxford,amr_hai_t1,"infection, hospital, included, prevention","infection, hospital, included, prevention, conducted, outcomes, january, interventions",0.646362,0.632483,include,mechanical,INC-GEO-01,regional_participation,pubmed,geo_amr_hai_4,0
doi:10.1128/mbio.01075-26,42484351,PMC13463712,10.1128/mbio.01075-26,https://pubmed.ncbi.nlm.nih.gov/42484351/,The WalRK two-component system inensures robustness of secondary wall polymer attachment.,mBio,mBio,2026,2026-07-22,eng,Journal Article,9,2,2,rti,Respiratory-tract infections,rti,0,Other/unspecified,,Basic research,1,1,1,"Zik, Justin J","Sham, Lok-To",Singapore,Singapore,Nanyang Technological University|National University of Singapore,Singapore|United States,Nanyang Technological University|National University of Singapore,rti_t6,"viral, protein, animals, virus","viral, protein, animals, virus, replication, genetic, potential, infections",0.209092,0.526172,include,mechanical,INC-GEO-01,,pubmed,geo_rti_5,0
doi:10.1080/10810730.2026.2687792,42290146,,10.1080/10810730.2026.2687792,https://pubmed.ncbi.nlm.nih.gov/42290146/,"The Social Amplification of Secondary Risk Perceptions: Online Media Attention, Interpersonal Discussion, and Dengue Vaccination Willingness in Singapore.",Journal of health communication,J Health Commun,2026,2026-06-14,eng,Journal Article,2,1,2,vector_borne,Vector-borne diseases,vector_borne,0,Other/unspecified,,Vaccine,1,1,1,"Ou, Mengxue","Ho, Shirley S",China,Singapore,Nanyang Technological University,China|Singapore,Nanyang Technological University,vector_borne_t1,"infection, fever, although, male","infection, fever, although, male, aged, adult, yellow, zikv",0.773259,0.57427,include,mechanical,INC-GEO-01,,pubmed,geo_vector_borne_1,0
doi:10.1111/scs.70292,42376726,,10.1111/scs.70292,https://pubmed.ncbi.nlm.nih.gov/42376726/,"The Silent Crisis: Loneliness in Older Adults-A Critical Review of Impacts, Strategies and Path Forward.",Scandinavian journal of caring sciences,Scand J Caring Sci,2026,2026-Sep-01,eng,Journal Article|Review,2,1,2,rti,Respiratory-tract infections,rti,0,COVID-19,COVID-19,,0,1,1,"Abdul Rahman, Hanif","Zahari, Nurrabiatul Haziqah",Brunei Darussalam,Brunei Darussalam,National University of Singapore,Brunei Darussalam|Singapore,National University of Singapore,rti_t3,"evidence, clinical, health, review","evidence, clinical, health, review, outcomes, substantial, evaluation, management",0.709357,0.316272,include,mechanical,INC-GEO-01,,pubmed,geo_rti_4|geo_rti_5,0
doi:10.3390/vaccines14060469,42347591,PMC13307854,10.3390/vaccines14060469,https://pubmed.ncbi.nlm.nih.gov/42347591/,The Effect of Aligning Childhood Influenza Vaccination with Specific Well-Visits in a Primary Care Institution in Singapore.,Vaccines,Vaccines (Basel),2026,2026-05-25,eng,Journal Article,6,1,1,rti,Respiratory-tract infections,rti,0,Other/unspecified,,Vaccine,1,1,0,"Goh, Ziying","Ng, Chung Wai Mark",Singapore,Singapore,SingHealth,Singapore,SingHealth,rti_t1,"incidence, months, remained, maternal","incidence, months, remained, maternal, infants, retrospective, database, april",0.608194,0.635594,include,mechanical,INC-GEO-01,,pubmed,geo_rti_2,0
doi:10.1177/08903344261475018,42583836,,10.1177/08903344261475018,https://pubmed.ncbi.nlm.nih.gov/42583836/,The Contactless Milk Depot-Pioneering Round-the-Clock Human Milk Donation.,Journal of human lactation : official journal of International Lactation Consultant Association,J Hum Lact,2026,2026-08-12,eng,Journal Article,7,1,1,rti,Respiratory-tract infections,rti,0,Other/unspecified,,Surveillance and epidemiology,1,1,0,"Jayagobi, Pooja Agarwal","Chua, Mei Chien",Singapore,Singapore,KK Women's and Children's Hospital,Singapore,KK Women's and Children's Hospital,rti_t1,"incidence, months, remained, maternal","incidence, months, remained, maternal, infants, retrospective, database, april",0.887756,0.223664,include,mechanical,INC-GEO-01,,pubmed,geo_rti_1,0
doi:10.3390/ijms27167316,42653319,PMC13513154,10.3390/ijms27167316,https://pubmed.ncbi.nlm.nih.gov/42653319/,The Combination of Nirmatrelvir and Ivermectin Exerts Strongly Synergistic Antiviral and Anti-Inflammatory Effects Against Murine Coronavirus Infection of Macrophages.,International journal of molecular sciences,Int J Mol Sci,2026,2026-08-16,eng,Journal Article,3,1,1,rti,Respiratory-tract infections,rti,0,SARS-CoV-2,SARS-CoV-2|Antiviral Agents|Coronavirus Infections|Cytokines|Virus Replication,Virology|Treatment,2,1,0,"How, Wilson Z Y","Chow, Vincent T K",Singapore,Singapore,National University of Singapore,Singapore,National University of Singapore,rti_t6,"viral, protein, animals, virus","viral, protein, animals, virus, replication, genetic, potential, infections",0.081323,0.86376,include,mechanical,INC-GEO-01,,pubmed,geo_all_id_1|geo_rti_1|geo_rti_3|geo_rti_4|geo_rti_5,0
