edge_id,pair_id,domain,path_order,node_id,label,x,y,weight,source,target,is_cross_border,involves_singapore
India--Singapore#amr_hai,India--Singapore,amr_hai,1,India,India,0.397173,0.572838,8,India,Singapore,1,1
India--Singapore#amr_hai,India--Singapore,amr_hai,2,Singapore,Singapore,0.429978,0.539306,8,India,Singapore,1,1
China--Singapore#tb,China--Singapore,tb,1,China,China,0.331977,0.597918,8,China,Singapore,1,1
China--Singapore#tb,China--Singapore,tb,2,Singapore,Singapore,0.429978,0.539306,8,China,Singapore,1,1
Ethiopia--France#tb,Ethiopia--France,tb,1,Ethiopia,Ethiopia,0.413066,0.448775,8,Ethiopia,France,1,0
Ethiopia--France#tb,Ethiopia--France,tb,2,France,France,0.37365,0.542016,8,Ethiopia,France,1,0
Ethiopia--United Kingdom#tb,Ethiopia--United Kingdom,tb,1,Ethiopia,Ethiopia,0.413066,0.448775,8,Ethiopia,United Kingdom,1,0
Ethiopia--United Kingdom#tb,Ethiopia--United Kingdom,tb,2,United Kingdom,United Kingdom,0.355643,0.570016,8,Ethiopia,United Kingdom,1,0
Indonesia--United Kingdom#tb,Indonesia--United Kingdom,tb,1,Indonesia,Indonesia,0.369414,0.492144,8,Indonesia,United Kingdom,1,0
Indonesia--United Kingdom#tb,Indonesia--United Kingdom,tb,2,United Kingdom,United Kingdom,0.355643,0.570016,8,Indonesia,United Kingdom,1,0
Indonesia--United States#tb,Indonesia--United States,tb,1,Indonesia,Indonesia,0.369414,0.492144,8,Indonesia,United States,1,0
Indonesia--United States#tb,Indonesia--United States,tb,2,United States,United States,0.440022,0.576858,8,Indonesia,United States,1,0
Philippines--Singapore#tb,Philippines--Singapore,tb,1,Philippines,Philippines,0.403578,0.405159,8,Philippines,Singapore,1,1
Philippines--Singapore#tb,Philippines--Singapore,tb,2,Singapore,Singapore,0.429978,0.539306,8,Philippines,Singapore,1,1
Singapore--Viet Nam#tb,Singapore--Viet Nam,tb,1,Singapore,Singapore,0.429978,0.539306,8,Singapore,Viet Nam,1,1
Singapore--Viet Nam#tb,Singapore--Viet Nam,tb,2,Viet Nam,Viet Nam,0.306341,0.520662,8,Singapore,Viet Nam,1,1
Singapore--Thailand#vector_borne,Singapore--Thailand,vector_borne,1,Singapore,Singapore,0.429978,0.539306,7,Singapore,Thailand,1,1
Singapore--Thailand#vector_borne,Singapore--Thailand,vector_borne,2,Thailand,Thailand,0.336992,0.46232,7,Singapore,Thailand,1,1
Canada--United States#tb,Canada--United States,tb,1,Canada,Canada,0.429902,0.670838,7,Canada,United States,1,0
Canada--United States#tb,Canada--United States,tb,2,United States,United States,0.440022,0.576858,7,Canada,United States,1,0
Netherlands--Singapore#tb,Netherlands--Singapore,tb,1,Netherlands,Netherlands,0.442831,0.641991,7,Netherlands,Singapore,1,1
Netherlands--Singapore#tb,Netherlands--Singapore,tb,2,Singapore,Singapore,0.429978,0.539306,7,Netherlands,Singapore,1,1
Italy--Singapore#tb,Italy--Singapore,tb,1,Italy,Italy,0.491029,0.507028,7,Italy,Singapore,1,1
Italy--Singapore#tb,Italy--Singapore,tb,2,Singapore,Singapore,0.429978,0.539306,7,Italy,Singapore,1,1
Japan--Singapore#sti,Japan--Singapore,sti,1,Japan,Japan,0.302497,0.608095,7,Japan,Singapore,1,1
Japan--Singapore#sti,Japan--Singapore,sti,2,Singapore,Singapore,0.429978,0.539306,7,Japan,Singapore,1,1
Thailand--United Kingdom#amr_hai,Thailand--United Kingdom,amr_hai,1,Thailand,Thailand,0.336992,0.46232,7,Thailand,United Kingdom,1,0
Thailand--United Kingdom#amr_hai,Thailand--United Kingdom,amr_hai,2,United Kingdom,United Kingdom,0.355643,0.570016,7,Thailand,United Kingdom,1,0
China--Singapore#other_id,China--Singapore,other_id,1,China,China,0.331977,0.597918,7,China,Singapore,1,1
China--Singapore#other_id,China--Singapore,other_id,2,Singapore,Singapore,0.429978,0.539306,7,China,Singapore,1,1
Singapore--United States#other_id,Singapore--United States,other_id,1,Singapore,Singapore,0.429978,0.539306,7,Singapore,United States,1,1
Singapore--United States#other_id,Singapore--United States,other_id,2,United States,United States,0.440022,0.576858,7,Singapore,United States,1,1
China--United States#sti,China--United States,sti,1,China,China,0.331977,0.597918,7,China,United States,1,0
China--United States#sti,China--United States,sti,2,United States,United States,0.440022,0.576858,7,China,United States,1,0
France--Singapore#vector_borne,France--Singapore,vector_borne,1,France,France,0.37365,0.542016,7,France,Singapore,1,1
France--Singapore#vector_borne,France--Singapore,vector_borne,2,Singapore,Singapore,0.429978,0.539306,7,France,Singapore,1,1
Ethiopia--Indonesia#tb,Ethiopia--Indonesia,tb,1,Ethiopia,Ethiopia,0.413066,0.448775,7,Ethiopia,Indonesia,1,0
Ethiopia--Indonesia#tb,Ethiopia--Indonesia,tb,2,Indonesia,Indonesia,0.369414,0.492144,7,Ethiopia,Indonesia,1,0
