uid,domain_id,domain_label,is_primary,domain_score,year,singapore_led
doi:10.1016/j.mib.2026.102764,amr_hai,AMR and healthcare-associated infections,1,8,2026,1
doi:10.1093/infdis/jiag290,vector_borne,Vector-borne diseases,1,15,2026,1
doi:10.1016/j.ssmmh.2026.100615,sti,Sexually-transmitted infections,1,7,2026,0
doi:10.1099/mgen.0.001745,amr_hai,AMR and healthcare-associated infections,1,9,2026,0
doi:10.1177/20584601261418668,tb,Tuberculosis,1,9,2026,1
doi:10.1371/journal.ppat.1014287,vector_borne,Vector-borne diseases,1,27,2026,0
doi:10.1371/journal.pcbi.1014355,vector_borne,Vector-borne diseases,1,54,2026,1
doi:10.3389/fcimb.2026.1847443,tb,Tuberculosis,1,16,2026,0
doi:10.3389/fcimb.2026.1847443,amr_hai,AMR and healthcare-associated infections,0,6,2026,0
doi:10.3390/v18030283,sti,Sexually-transmitted infections,1,21,2026,1
doi:10.1039/d6ra04008j,other_id,Other infectious disease,1,,2026,1
doi:10.1128/mbio.01474-26,other_id,Other infectious disease,1,,2026,1
doi:10.1016/j.jhin.2026.03.037,amr_hai,AMR and healthcare-associated infections,1,15,2026,0
doi:10.1002/jmv.71078,vector_borne,Vector-borne diseases,1,27,2026,0
doi:10.1186/s13073-026-01670-6,tb,Tuberculosis,1,26,2026,1
doi:10.1016/j.fm.2026.105164,amr_hai,AMR and healthcare-associated infections,1,6,2026,1
doi:10.1016/j.lanwpc.2026.101874,sti,Sexually-transmitted infections,1,9,2026,1
doi:10.1002/jcop.70120,sti,Sexually-transmitted infections,1,4,2026,1
doi:10.1093/cid/ciag347,amr_hai,AMR and healthcare-associated infections,1,12,2026,1
doi:10.1016/j.ijpara.2026.104892,vector_borne,Vector-borne diseases,1,27,2026,0
doi:10.1016/j.ijid.2026.109084,vector_borne,Vector-borne diseases,1,12,2026,1
doi:10.1186/s12889-026-28672-8,other_id,Other infectious disease,1,,2026,1
doi:10.3389/fpubh.2026.1785244,rti,Respiratory-tract infections,1,58,2026,1
doi:10.4103/singaporemedj.smj-2026-181,rti,Respiratory-tract infections,1,30,2026,1
doi:10.4103/singaporemedj.smj-2026-181,amr_hai,AMR and healthcare-associated infections,0,16,2026,1
doi:10.4103/singaporemedj.smj-2026-182,rti,Respiratory-tract infections,1,5,2026,1
doi:10.1016/j.oret.2026.06.023,tb,Tuberculosis,1,8,2026,0
doi:10.3390/ijms27125573,amr_hai,AMR and healthcare-associated infections,1,33,2026,1
doi:10.1093/jac/dkag263,amr_hai,AMR and healthcare-associated infections,1,19,2026,1
doi:10.1186/s12889-026-26441-1,sti,Sexually-transmitted infections,1,24,2026,0
doi:10.1016/j.urolonc.2026.111091,tb,Tuberculosis,1,8,2026,1
doi:10.1007/s11673-026-10573-5,rti,Respiratory-tract infections,1,12,2026,0
doi:10.3390/tropicalmed11070184,vector_borne,Vector-borne diseases,1,18,2026,1
doi:10.1093/aje/kwag024,tb,Tuberculosis,1,44,2026,0
doi:10.1093/aje/kwag024,amr_hai,AMR and healthcare-associated infections,0,6,2026,0
doi:10.1371/journal.pntd.0014222,vector_borne,Vector-borne diseases,1,67,2026,0
doi:10.3892/br.2026.2154,other_id,Other infectious disease,1,,2026,0
doi:10.1016/j.ajcnut.2026.101488,tb,Tuberculosis,1,12,2026,1
doi:10.3390/v18050485,other_id,Other infectious disease,1,,2026,1
doi:10.1093/jpids/piag047,amr_hai,AMR and healthcare-associated infections,1,4,2026,1
doi:10.1002/advs.75061,amr_hai,AMR and healthcare-associated infections,1,15,2026,0
doi:10.1016/j.xcrm.2026.102714,amr_hai,AMR and healthcare-associated infections,1,12,2026,1
doi:10.3389/fpubh.2026.1857629,sti,Sexually-transmitted infections,1,27,2026,0
doi:10.1097/md.0000000000047358,sti,Sexually-transmitted infections,1,40,2026,0
doi:10.1016/j.cmi.2026.01.032,amr_hai,AMR and healthcare-associated infections,1,22,2026,1
doi:10.1016/j.lanhl.2026.100870,rti,Respiratory-tract infections,1,30,2026,0
doi:10.1370/afm.250683,sti,Sexually-transmitted infections,1,18,2026,1
doi:10.1016/j.nedt.2026.107368,rti,Respiratory-tract infections,1,6,2026,1
doi:10.1007/s40273-026-01609-0,amr_hai,AMR and healthcare-associated infections,1,10,2026,0
doi:10.1371/journal.pcbi.1014313,sti,Sexually-transmitted infections,1,18,2026,0
doi:10.1038/s41467-026-71566-x,tb,Tuberculosis,1,20,2026,0
doi:10.1186/s12879-026-13946-8,amr_hai,AMR and healthcare-associated infections,1,39,2026,0
doi:10.64898/2026.07.03.736289,vector_borne,Vector-borne diseases,1,15,2026,1
doi:10.1016/j.pt.2026.06.011,vector_borne,Vector-borne diseases,1,22,2026,1
doi:10.1371/journal.ppat.1013609,vector_borne,Vector-borne diseases,1,26,2026,0
doi:10.3389/fimmu.2026.1921846,rti,Respiratory-tract infections,1,52,2026,0
doi:10.2196/87328,rti,Respiratory-tract infections,1,18,2026,0
doi:10.1016/j.ebiom.2026.106447,other_id,Other infectious disease,1,,2026,0
doi:10.1371/journal.pone.0351023,vector_borne,Vector-borne diseases,1,41,2026,0
doi:10.1016/j.ejmech.2026.119130,vector_borne,Vector-borne diseases,1,22,2026,0
doi:10.1002/biof.70105,vector_borne,Vector-borne diseases,1,29,2026,0
doi:10.1056/nejmoa2503304,vector_borne,Vector-borne diseases,1,52,2026,1
