uid,type_id,type_label,type_score,year,primary_domain
doi:10.1056/nejmoa2503304,entomology,Entomology,16,2026,vector_borne
doi:10.1056/nejmoa2503304,surveillance_epidemiology,Surveillance and epidemiology,4,2026,vector_borne
doi:10.1007/s10985-026-09690-5,virology,Virology,8,2026,sti
doi:10.1007/s10985-026-09690-5,modelling,Modelling,4,2026,sti
doi:10.7759/cureus.114118,case_study,Case study,6,2026,tb
doi:10.1016/j.lanwpc.2026.101892,vaccine,Vaccine,4,2026,sti
doi:10.1017/ice.2026.10530,infection_prevention_control,Infection prevention and control,6,2026,amr_hai
doi:10.1128/spectrum.01906-25,genomics,Genomics,10,2026,amr_hai
doi:10.1093/cid/ciag361,treatment,Treatment,4,2026,tb
doi:10.1016/j.vaccine.2026.129079,modelling,Modelling,6,2026,rti
doi:10.1186/s12985-026-03231-0,entomology,Entomology,6,2026,vector_borne
doi:10.1186/s12985-026-03231-0,genomics,Genomics,5,2026,vector_borne
doi:10.1186/s12985-026-03231-0,basic_research,Basic research,4,2026,vector_borne
doi:10.3390/cells15131146,virology,Virology,6,2026,rti
doi:10.3390/cells15131146,treatment,Treatment,4,2026,rti
doi:10.1016/j.jare.2026.09.007,treatment,Treatment,3,2026,amr_hai
doi:10.5492/wjccm.v15.i1.110763,detection,Detection,4,2026,tb
doi:10.1038/s41598-026-59102-9,genomics,Genomics,12,2026,other_id
doi:10.1093/ehjqcco/qcaf145,disease_management,Disease management,6,2026,amr_hai
doi:10.3390/ani16152314,genomics,Genomics,7,2026,rti
doi:10.3390/ani16152314,immunology,Immunology,6,2026,rti
doi:10.7759/cureus.113372,surveillance_epidemiology,Surveillance and epidemiology,3,2026,tb
doi:10.2196/67870,surveillance_epidemiology,Surveillance and epidemiology,10,2026,rti
doi:10.2196/67870,genomics,Genomics,3,2026,rti
doi:10.1093/cid/ciaf467,treatment,Treatment,8,2026,tb
doi:10.1093/cid/ciaf467,clinical_studies,Clinical studies,4,2026,tb
doi:10.1016/j.vaccine.2026.128917,virology,Virology,9,2026,vector_borne
doi:10.1016/j.vaccine.2026.128917,vaccine,Vaccine,8,2026,vector_borne
doi:10.1038/s41467-026-75954-1,genomics,Genomics,13,2026,rti
doi:10.1038/s41467-026-75954-1,surveillance_epidemiology,Surveillance and epidemiology,3,2026,rti
doi:10.1038/s41467-026-75954-1,virology,Virology,3,2026,rti
