edge_id,pair_id,domain,path_order,node_id,label,x,y,weight,source,target,is_cross_border,involves_singapore
National Centre for Infectious Diseases--Tan Tock Seng Hospital#tb,National Centre for Infectious Diseases--Tan Tock Seng Hospital,tb,2,Tan Tock Seng Hospital,Tan Tock Seng Hospital,0.54699,0.379399,5,National Centre for Infectious Diseases,Tan Tock Seng Hospital,0,1
Nanyang Technological University--Tan Tock Seng Hospital#tb,Nanyang Technological University--Tan Tock Seng Hospital,tb,1,Nanyang Technological University,Nanyang Technological University,0.664988,0.515565,5,Nanyang Technological University,Tan Tock Seng Hospital,0,1
Nanyang Technological University--Tan Tock Seng Hospital#tb,Nanyang Technological University--Tan Tock Seng Hospital,tb,2,Tan Tock Seng Hospital,Tan Tock Seng Hospital,0.54699,0.379399,5,Nanyang Technological University,Tan Tock Seng Hospital,0,1
Nanyang Technological University--University of Melbourne#vector_borne,Nanyang Technological University--University of Melbourne,vector_borne,1,Nanyang Technological University,Nanyang Technological University,0.664988,0.515565,5,Nanyang Technological University,University of Melbourne,1,1
Nanyang Technological University--University of Melbourne#vector_borne,Nanyang Technological University--University of Melbourne,vector_borne,2,University of Melbourne,University of Melbourne,0.717864,0.499267,5,Nanyang Technological University,University of Melbourne,1,1
Mahidol University--National University of Singapore#vector_borne,Mahidol University--National University of Singapore,vector_borne,1,Mahidol University,Mahidol University,0.601502,0.392831,4,Mahidol University,National University of Singapore,1,1
Mahidol University--National University of Singapore#vector_borne,Mahidol University--National University of Singapore,vector_borne,2,National University of Singapore,National University of Singapore,0.59751,0.507684,4,Mahidol University,National University of Singapore,1,1
National University of Singapore--World Health Organization#vector_borne,National University of Singapore--World Health Organization,vector_borne,1,National University of Singapore,National University of Singapore,0.59751,0.507684,4,National University of Singapore,World Health Organization,1,1
National University of Singapore--World Health Organization#vector_borne,National University of Singapore--World Health Organization,vector_borne,2,World Health Organization,World Health Organization,0.823585,0.550849,4,National University of Singapore,World Health Organization,1,1
KK Women's and Children's Hospital--National University of Singapore#rti,KK Women's and Children's Hospital--National University of Singapore,rti,1,KK Women's and Children's Hospital,KK Women's and Children's Hospital,0.460123,0.505295,4,KK Women's and Children's Hospital,National University of Singapore,0,1
KK Women's and Children's Hospital--National University of Singapore#rti,KK Women's and Children's Hospital--National University of Singapore,rti,2,National University of Singapore,National University of Singapore,0.59751,0.507684,4,KK Women's and Children's Hospital,National University of Singapore,0,1
National University of Singapore--Singapore General Hospital#rti,National University of Singapore--Singapore General Hospital,rti,1,National University of Singapore,National University of Singapore,0.59751,0.507684,4,National University of Singapore,Singapore General Hospital,0,1
National University of Singapore--Singapore General Hospital#rti,National University of Singapore--Singapore General Hospital,rti,2,Singapore General Hospital,Singapore General Hospital,0.475209,0.374832,4,National University of Singapore,Singapore General Hospital,0,1
National University of Singapore--Tan Tock Seng Hospital#rti,National University of Singapore--Tan Tock Seng Hospital,rti,1,National University of Singapore,National University of Singapore,0.59751,0.507684,4,National University of Singapore,Tan Tock Seng Hospital,0,1
National University of Singapore--Tan Tock Seng Hospital#rti,National University of Singapore--Tan Tock Seng Hospital,rti,2,Tan Tock Seng Hospital,Tan Tock Seng Hospital,0.54699,0.379399,4,National University of Singapore,Tan Tock Seng Hospital,0,1
Nanyang Technological University--National Centre for Infectious Diseases#tb,Nanyang Technological University--National Centre for Infectious Diseases,tb,1,Nanyang Technological University,Nanyang Technological University,0.664988,0.515565,4,Nanyang Technological University,National Centre for Infectious Diseases,0,1
Nanyang Technological University--National Centre for Infectious Diseases#tb,Nanyang Technological University--National Centre for Infectious Diseases,tb,2,National Centre for Infectious Diseases,National Centre for Infectious Diseases,0.63178,0.485666,4,Nanyang Technological University,National Centre for Infectious Diseases,0,1
